,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Memphis Grizzlies,14,8,6,0.571,50.5,104.1,40.0,86.1,46.4,6.1,17.1,35.6,18.0,22.9,78.5,9.8,31.8,41.6,23.8,12.1,7.9,4.9,6.4,19.7,20.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,San Antonio Spurs,18,8,10,0.444,50.5,104.6,39.4,84.6,46.6,8.5,22.3,38.1,17.2,23.0,74.6,10.6,34.0,44.6,24.4,15.2,7.2,5.6,3.9,20.2,21.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Portland Trail Blazers,16,13,3,0.813,49.6,103.7,39.6,87.7,45.2,10.3,27.6,37.1,14.2,17.9,79.1,10.3,35.1,45.4,21.9,14.1,7.5,5.1,3.3,19.4,18.4,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Houston Rockets,14,9,5,0.643,49.4,105.2,37.6,86.5,43.4,11.5,33.6,34.2,18.6,26.2,70.8,12.8,33.4,46.2,20.1,17.6,9.2,4.4,5.9,23.0,21.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Boston Celtics,15,7,8,0.467,49.0,103.3,39.9,87.2,45.8,7.7,22.6,34.2,15.7,20.6,76.4,9.9,34.9,44.8,26.4,15.9,8.9,4.3,4.8,21.0,18.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Charlotte Hornets,15,6,9,0.4,49.0,97.3,36.7,86.3,42.5,6.4,20.2,31.7,17.5,23.3,75.4,9.9,33.1,43.0,19.0,11.3,6.1,5.4,5.9,18.8,20.7,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,Sacramento Kings,15,4,11,0.267,49.0,102.7,37.5,81.5,46.0,6.0,16.5,36.3,21.7,29.5,73.4,11.4,32.1,43.5,20.9,16.5,6.3,3.7,5.9,21.6,24.1,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,Toronto Raptors,15,11,4,0.733,49.0,107.7,40.7,86.3,47.2,9.6,26.2,36.6,16.7,21.8,76.5,12.3,29.7,41.9,21.9,11.7,6.6,3.7,5.7,21.1,20.3,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,Detroit Pistons,14,5,9,0.357,48.7,100.9,37.9,88.2,43.0,8.6,25.2,34.3,16.4,24.1,67.8,13.6,32.9,46.6,22.6,13.4,8.8,5.3,5.3,19.5,20.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Philadelphia 76ers,14,4,10,0.286,48.7,90.4,32.9,80.6,40.7,7.2,24.4,29.6,17.5,25.7,68.1,11.6,32.6,44.3,19.0,19.7,10.5,6.4,5.8,20.9,20.7,-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Chicago Bulls,15,11,4,0.733,48.7,104.0,37.3,83.3,44.8,7.8,21.3,36.7,21.7,27.1,80.0,12.6,35.9,48.5,22.1,14.5,5.0,6.7,5.7,17.3,21.9,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Dallas Mavericks,15,10,5,0.667,48.7,110.2,41.3,86.8,47.5,9.9,26.1,37.9,17.8,23.5,75.9,10.8,31.2,42.0,22.1,13.5,8.5,4.5,3.8,20.4,22.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,Denver Nuggets,16,5,11,0.313,48.6,97.5,36.8,87.8,41.9,6.9,23.8,28.9,17.1,23.7,72.3,13.3,33.1,46.3,20.8,15.3,6.9,4.3,6.1,23.3,20.1,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,New York Knicks,16,1,15,0.063,48.6,94.9,36.9,83.1,44.4,6.8,20.4,33.1,14.4,17.8,81.3,10.6,28.6,39.3,21.8,14.1,8.0,4.3,4.4,20.8,18.0,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,Oklahoma City Thunder,16,11,5,0.688,48.6,107.9,40.1,86.3,46.4,7.0,22.1,31.7,20.8,26.9,77.2,13.1,35.6,48.6,20.6,14.8,7.4,6.4,4.5,22.6,21.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
15,13,Phoenix Suns,16,8,8,0.5,48.6,108.8,40.3,86.0,46.9,11.1,28.4,39.0,17.1,22.1,77.3,11.1,30.6,41.7,20.9,14.3,8.9,5.2,3.4,21.7,20.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13,Washington Wizards,16,12,4,0.75,48.6,102.6,40.3,83.9,48.0,6.5,15.9,40.8,15.6,21.1,74.0,10.6,33.6,44.3,25.3,14.8,8.0,5.1,4.8,21.0,19.9,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,New Orleans Pelicans,17,9,8,0.529,48.6,102.6,39.5,85.2,46.3,6.4,19.2,33.0,17.3,22.6,76.6,11.4,32.9,44.4,21.5,13.4,7.2,5.5,6.4,17.6,18.7,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,Golden State Warriors,14,11,3,0.786,48.4,109.2,41.7,87.6,47.6,9.6,26.9,35.8,16.1,20.6,78.2,11.1,34.0,45.1,26.5,14.5,10.9,6.6,4.0,18.1,17.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
