,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Portland Trail Blazers,9,2,7,0.222,49.1,105.7,38.3,84.9,45.2,10.2,26.7,38.3,18.8,25.0,75.1,11.9,35.3,47.2,18.7,15.8,5.7,4.4,4.8,24.6,20.9,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Washington Wizards,10,7,3,0.7,49.0,112.9,41.4,88.7,46.7,10.6,27.0,39.3,19.5,24.8,78.6,11.0,32.0,43.0,24.5,14.8,9.1,5.1,5.3,21.9,21.3,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Charlotte Hornets,11,3,8,0.273,48.9,103.5,36.5,85.3,42.9,11.7,33.5,35.0,18.6,21.8,85.4,7.4,36.8,44.2,22.5,12.5,6.4,4.5,5.5,17.6,19.7,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Chicago Bulls,11,6,5,0.545,48.9,108.7,41.6,88.5,47.0,8.1,22.8,35.5,17.4,22.5,77.3,10.5,31.8,42.4,25.4,12.0,7.7,3.5,4.1,18.6,20.0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Detroit Pistons,12,8,4,0.667,48.8,105.4,40.8,90.4,45.1,8.0,24.2,33.1,15.9,21.8,73.2,11.7,35.9,47.6,22.0,12.8,7.1,3.4,3.8,16.7,19.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Houston Rockets,9,6,3,0.667,48.6,120.6,40.1,90.2,44.5,15.7,44.7,35.1,24.7,32.4,76.0,11.3,31.3,42.7,25.2,13.2,9.9,3.9,5.2,21.2,22.7,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Brooklyn Nets,10,0,10,0.0,48.5,103.0,37.6,85.5,44.0,10.2,30.7,33.2,17.6,23.4,75.2,9.5,35.6,45.1,22.6,18.5,6.2,5.2,5.7,21.8,19.5,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Atlanta Hawks,11,5,6,0.455,48.5,101.9,37.0,82.5,44.8,7.7,25.6,30.1,20.2,27.4,73.8,9.0,37.1,46.1,20.9,15.3,7.2,5.2,5.4,17.5,22.5,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Cleveland Cavaliers,11,9,2,0.818,48.5,117.4,42.6,83.4,51.1,14.6,34.8,42.0,17.5,22.1,79.0,8.0,35.1,43.1,25.4,13.5,6.2,4.3,3.7,16.8,19.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,Dallas Mavericks,11,6,5,0.545,48.5,100.9,37.3,81.8,45.6,10.6,27.9,38.1,15.7,19.5,80.5,6.8,32.3,39.1,21.1,11.5,8.4,3.5,3.9,19.4,19.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8,LA Clippers,11,6,5,0.545,48.5,109.3,39.7,85.9,46.2,10.3,28.4,36.2,19.5,26.3,74.4,9.3,33.9,43.2,22.4,12.5,8.8,4.0,3.8,20.2,22.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
