,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Brooklyn Nets,14,6,8,0.429,49.1,98.4,36.7,81.4,45.1,7.1,21.3,33.2,17.9,22.4,79.9,9.4,32.1,41.4,19.9,14.6,7.1,4.2,4.5,21.5,20.6,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Milwaukee Bucks,16,9,7,0.563,48.9,96.8,36.8,82.6,44.6,6.1,19.4,31.6,17.0,21.6,78.8,11.9,29.8,41.8,21.9,16.4,9.4,4.0,4.9,22.8,20.8,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Atlanta Hawks,14,9,5,0.643,48.7,103.5,38.0,80.7,47.1,8.4,24.1,35.0,19.1,23.8,80.2,9.0,30.6,39.6,24.8,14.5,8.5,4.9,4.5,19.1,21.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Los Angeles Lakers,14,4,10,0.286,48.7,104.9,39.3,87.2,45.0,5.7,18.3,31.3,20.6,27.9,73.9,13.2,29.6,42.8,20.2,12.2,7.5,4.5,4.1,21.9,22.7,-6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Sacramento Kings,15,8,7,0.533,48.7,102.7,36.4,77.7,46.9,4.7,14.5,32.7,25.2,31.5,80.1,10.7,34.5,45.2,19.5,16.1,5.8,4.3,6.2,23.2,26.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Phoenix Suns,16,8,8,0.5,48.6,104.3,38.6,85.7,45.0,9.4,26.2,35.8,17.8,21.4,83.0,10.1,31.9,42.0,20.8,15.9,8.1,4.2,4.3,23.8,21.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Charlotte Hornets,17,3,14,0.176,48.6,92.8,35.7,82.9,43.0,5.8,18.0,32.0,15.6,21.3,73.2,9.1,31.8,40.9,21.0,11.8,5.2,4.1,3.9,18.4,21.4,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Minnesota Timberwolves,13,3,10,0.231,48.4,101.1,37.8,85.6,44.1,5.5,15.3,35.7,20.1,26.9,74.6,12.0,27.8,39.8,22.2,15.4,9.0,3.9,5.7,21.7,23.0,-10.9,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Washington Wizards,13,9,4,0.692,48.4,97.2,37.6,82.1,45.8,5.5,14.9,36.6,16.5,22.6,73.1,11.2,32.0,43.2,24.9,14.8,8.0,5.4,4.2,23.3,22.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,Denver Nuggets,15,7,8,0.467,48.3,106.6,38.6,86.1,44.8,8.9,25.5,34.7,20.5,27.3,75.1,12.7,32.2,44.9,21.1,14.2,7.0,5.1,5.4,25.1,22.3,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,Detroit Pistons,15,3,12,0.2,48.3,92.9,34.3,82.9,41.4,8.1,22.8,35.7,16.1,23.5,68.3,12.3,31.4,43.7,19.1,13.6,6.5,4.3,5.0,19.4,20.5,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
