,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,New Jersey Nets,15,3,12,0.2,49.3,91.3,33.4,79.8,41.9,4.1,14.1,29.2,20.4,26.1,78.1,10.6,31.5,42.1,17.1,15.7,6.2,4.4,5.2,22.4,22.0,-7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Oklahoma City Thunder,16,11,5,0.688,48.9,105.6,37.7,81.3,46.3,5.6,16.3,34.6,24.6,29.9,82.3,10.5,30.4,40.9,21.4,13.7,8.9,5.8,4.3,22.0,23.4,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Memphis Grizzlies,14,6,8,0.429,48.7,98.9,37.9,83.2,45.6,3.7,10.9,34.2,19.3,25.5,75.6,11.2,28.9,40.1,20.1,14.3,9.6,4.9,6.1,21.0,21.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Detroit Pistons,15,5,10,0.333,48.7,95.0,36.3,80.4,45.2,6.9,18.1,38.4,15.4,21.2,72.6,10.7,26.1,36.7,21.4,13.9,8.2,4.7,4.5,19.1,18.3,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Chicago Bulls,16,12,4,0.75,48.6,97.3,37.5,80.9,46.3,5.9,15.3,38.8,16.3,23.1,70.5,11.6,31.8,43.4,22.4,15.6,7.9,6.1,6.2,19.8,19.5,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,New York Knicks,13,8,5,0.615,48.4,108.1,40.2,84.8,47.5,10.1,25.1,40.2,17.5,22.2,79.2,9.0,30.4,39.4,22.8,14.3,7.4,5.9,3.7,20.2,19.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Sacramento Kings,13,2,11,0.154,48.4,95.1,36.3,84.8,42.8,6.7,17.6,38.0,15.8,21.5,73.5,13.0,29.8,42.8,18.8,16.4,6.9,4.9,6.4,23.2,20.2,-6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Charlotte Bobcats,14,5,9,0.357,48.4,87.7,32.8,76.6,42.8,4.7,13.9,34.0,17.4,25.1,69.3,11.6,30.7,42.4,18.9,17.8,7.4,6.5,6.5,20.6,21.6,-9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Golden State Warriors,14,5,9,0.357,48.4,101.6,38.5,83.4,46.1,9.6,22.1,43.4,15.1,21.5,70.1,12.1,29.1,41.2,23.4,16.6,8.9,4.4,4.6,20.8,18.4,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,Phoenix Suns,14,6,8,0.429,48.4,104.1,39.0,80.8,48.3,8.1,21.5,37.5,18.1,23.4,77.1,9.8,28.9,38.7,24.2,15.4,6.6,3.5,4.3,21.5,21.6,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Cleveland Cavaliers,15,1,14,0.067,48.3,92.7,33.8,81.9,41.3,7.2,21.9,32.8,17.9,24.0,74.4,9.3,28.8,38.1,21.3,13.3,6.9,3.1,5.3,18.7,21.1,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Houston Rockets,15,11,4,0.733,48.3,108.6,39.1,82.9,47.1,9.3,22.3,41.8,21.1,26.5,79.6,10.9,30.3,41.2,25.0,14.7,8.3,5.8,6.3,20.5,21.8,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,San Antonio Spurs,15,13,2,0.867,48.3,103.3,38.4,80.5,47.7,9.3,23.9,38.7,17.3,23.3,74.0,10.5,32.1,42.7,23.8,12.5,7.8,5.4,4.5,18.7,20.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,New Orleans Hornets,16,7,9,0.438,48.3,91.6,34.6,77.9,44.5,4.4,13.9,31.5,18.0,24.2,74.4,11.2,30.8,42.0,20.0,14.0,8.0,4.2,5.3,20.3,19.8,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,Atlanta Hawks,17,10,7,0.588,48.0,92.7,35.5,77.2,46.0,5.9,16.4,36.0,15.8,21.4,73.6,8.9,31.3,40.2,22.9,13.9,6.5,3.8,3.6,18.8,19.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Boston Celtics,14,11,3,0.786,48.0,96.6,37.1,74.9,49.5,5.0,15.1,33.2,17.4,22.1,78.7,7.2,32.2,39.4,22.0,15.1,8.5,4.8,4.1,20.0,20.1,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Dallas Mavericks,14,11,3,0.786,48.0,99.4,37.2,78.1,47.6,7.7,20.8,37.1,17.2,21.6,79.5,7.8,33.4,41.1,24.3,13.7,7.9,4.2,4.2,18.4,19.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15,Denver Nuggets,15,8,7,0.533,48.0,107.1,36.3,77.9,46.7,8.2,22.1,37.2,26.3,33.1,79.4,9.0,30.4,39.4,20.4,15.0,7.2,4.1,6.9,20.9,23.9,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15,Indiana Pacers,15,5,10,0.333,48.0,93.5,34.8,81.6,42.6,8.1,22.9,35.2,15.8,20.9,75.7,9.2,32.4,41.6,20.1,16.1,7.1,6.5,5.6,21.9,20.5,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
