,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Phoenix Suns,16,5,11,0.313,49.6,108.4,41.5,91.3,45.4,9.8,28.7,34.0,15.7,19.3,81.2,10.4,32.2,42.6,24.7,15.6,10.3,5.6,4.6,23.3,18.8,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Washington Wizards,15,6,9,0.4,49.3,113.3,42.7,89.5,47.7,11.3,33.2,33.9,16.7,21.6,77.2,8.1,30.6,38.7,27.1,14.1,8.6,3.9,4.5,21.0,21.5,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Charlotte Hornets,14,7,7,0.5,49.1,112.2,40.8,91.2,44.7,11.6,31.6,36.8,19.0,23.8,79.9,10.0,34.4,44.4,23.9,12.4,7.2,4.8,6.9,19.4,21.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Brooklyn Nets,15,9,6,0.6,49.0,111.7,39.7,85.7,46.3,12.1,32.7,37.1,20.1,26.7,75.3,10.1,35.4,45.5,24.7,15.3,6.5,3.7,4.7,20.5,22.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Orlando Magic,13,5,8,0.385,48.8,99.1,36.6,86.5,42.3,10.9,31.4,34.8,14.9,19.2,77.9,9.7,34.8,44.5,21.3,14.8,5.8,5.0,5.2,19.5,19.0,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Boston Celtics,14,9,5,0.643,48.7,117.2,42.6,90.9,46.9,13.9,37.7,36.7,18.1,21.9,82.4,10.3,34.0,44.3,26.6,12.8,9.5,5.3,4.1,20.6,20.9,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,New York Knicks,14,2,12,0.143,48.7,107.1,39.5,91.6,43.1,11.5,30.9,37.2,16.6,22.6,73.4,10.3,33.4,43.7,21.6,13.6,6.3,3.4,5.4,20.1,21.0,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Minnesota Timberwolves,15,6,9,0.4,48.7,113.9,41.7,90.6,46.1,9.3,26.4,35.4,21.1,27.5,76.7,11.2,33.2,44.4,26.3,12.4,8.7,6.1,5.0,20.5,24.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Portland Trail Blazers,15,8,7,0.533,48.7,109.1,40.5,88.4,45.9,10.1,27.9,36.3,17.9,22.4,80.1,10.3,35.7,46.0,22.0,15.1,6.9,5.1,5.3,20.9,20.3,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,Denver Nuggets,12,8,4,0.667,48.4,109.0,40.3,87.7,46.0,11.3,31.2,36.4,17.0,22.6,75.3,12.1,33.8,45.8,27.8,14.7,8.3,4.5,4.9,19.4,19.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Atlanta Hawks,13,6,7,0.462,48.4,113.0,41.8,90.9,45.9,12.1,33.1,36.5,17.4,24.0,72.4,13.5,33.6,47.1,27.8,18.7,8.3,5.2,5.1,24.5,21.9,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Philadelphia 76ers,13,7,6,0.538,48.4,112.8,41.8,88.8,47.1,11.2,32.8,34.0,18.0,23.4,77.0,10.2,35.8,46.1,26.8,14.5,7.7,5.4,3.2,21.5,20.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,Milwaukee Bucks,14,10,4,0.714,48.4,111.0,40.3,89.4,45.1,12.6,38.4,33.0,17.8,23.1,76.9,9.0,39.9,48.9,24.3,14.2,7.6,6.1,3.9,20.0,20.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Detroit Pistons,15,4,11,0.267,48.3,102.8,38.0,88.9,42.7,10.5,33.1,31.8,16.3,22.8,71.3,11.9,34.1,46.0,22.8,16.4,6.8,4.4,6.1,22.5,21.8,-6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Golden State Warriors,15,10,5,0.667,48.3,114.8,41.7,89.7,46.4,13.0,34.5,37.7,18.5,22.5,82.2,9.5,36.7,46.2,28.1,14.3,7.5,6.0,3.4,21.5,20.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,LA Clippers,15,6,9,0.4,48.3,113.5,40.6,85.2,47.7,9.3,23.7,39.4,23.0,28.5,80.8,9.7,34.9,44.6,23.0,16.1,6.1,3.7,5.5,22.5,24.0,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,Toronto Raptors,15,8,7,0.533,48.3,105.6,39.3,89.9,43.8,10.7,33.1,32.3,16.3,19.6,83.0,10.6,33.7,44.3,21.5,12.5,7.9,5.6,5.0,19.1,18.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,Dallas Mavericks,16,7,9,0.438,48.3,110.6,38.3,85.9,44.6,11.7,34.3,34.1,22.3,29.8,74.8,10.9,36.2,47.1,22.6,15.9,7.3,4.1,4.3,19.4,24.8,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,Chicago Bulls,14,5,9,0.357,48.0,95.6,37.0,82.9,44.6,8.0,23.7,33.7,13.6,17.7,77.0,8.0,33.6,41.6,20.0,15.9,8.6,4.6,4.6,21.1,17.4,-8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Cleveland Cavaliers,16,4,12,0.25,48.0,101.2,38.5,87.4,44.1,9.3,27.9,33.4,14.9,19.1,77.8,10.4,33.3,43.8,20.5,12.3,6.4,2.6,5.4,19.3,18.3,-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,Houston Rockets,15,11,4,0.733,48.0,110.3,37.5,83.8,44.7,15.2,42.6,35.7,20.2,26.1,77.5,10.8,32.8,43.6,20.8,14.3,7.1,4.3,5.1,22.5,20.6,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19,Indiana Pacers,15,12,3,0.8,48.0,109.7,42.1,86.5,48.6,9.1,24.9,36.6,16.5,21.3,77.2,10.1,36.3,46.4,27.5,15.5,9.2,5.9,4.7,19.1,20.2,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19,Los Angeles Lakers,15,8,7,0.533,48.0,114.7,43.4,89.7,48.4,12.1,34.0,35.5,15.9,23.5,67.4,9.3,37.5,46.8,25.6,15.0,7.8,4.6,5.1,18.2,20.9,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
23,19,Memphis Grizzlies,15,5,10,0.333,48.0,97.4,36.5,80.1,45.5,8.4,26.1,32.2,16.1,21.3,75.3,7.4,31.9,39.3,22.0,13.8,9.0,6.4,4.9,22.3,20.6,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
24,19,Miami Heat,14,9,5,0.643,48.0,103.9,38.7,88.2,43.9,11.9,33.5,35.4,14.6,21.1,69.3,12.5,35.4,47.9,24.4,13.6,8.1,5.6,5.3,20.4,18.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
25,19,New Orleans Pelicans,15,6,9,0.4,48.0,113.7,43.1,90.4,47.6,10.5,28.8,36.3,17.1,22.2,77.2,10.3,35.1,45.5,27.6,13.8,7.7,4.9,5.6,23.3,20.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
26,19,Oklahoma City Thunder,15,9,6,0.6,48.0,113.6,43.5,92.6,46.9,9.1,27.4,33.3,17.5,25.5,68.7,12.3,36.0,48.3,22.3,15.7,10.9,5.5,4.5,22.7,23.4,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
27,19,Sacramento Kings,15,9,6,0.6,48.0,116.3,43.5,93.5,46.6,12.9,33.4,38.7,16.3,22.5,72.4,10.6,32.3,42.9,26.4,13.1,8.4,5.1,5.0,20.8,21.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
28,19,San Antonio Spurs,16,11,5,0.688,48.0,115.6,44.3,86.5,51.2,10.1,23.8,42.4,16.9,20.3,83.4,7.8,36.4,44.1,26.2,11.9,6.7,4.9,4.1,18.1,19.2,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
29,19,Utah Jazz,14,7,7,0.5,48.0,110.1,40.8,86.5,47.2,12.3,32.8,37.5,16.2,22.3,72.8,9.9,37.2,47.1,26.9,16.1,9.6,4.9,5.5,20.6,20.9,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
