,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Miami Heat,15,9,6,0.6,49.0,111.2,39.5,86.9,45.5,14.7,37.8,39.0,17.4,20.5,85.0,11.5,34.1,45.5,27.2,15.7,7.7,3.6,4.1,21.0,19.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Indiana Pacers,16,5,11,0.313,48.9,111.4,40.6,88.4,45.9,12.5,36.0,34.7,17.8,23.9,74.4,11.3,31.9,43.2,25.7,14.9,6.4,5.4,5.2,21.7,20.8,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Toronto Raptors,16,10,6,0.625,48.9,109.3,39.5,90.6,43.6,13.5,37.3,36.2,16.8,22.8,73.7,13.4,31.6,45.1,22.6,13.1,9.6,5.6,4.5,20.3,21.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Boston Celtics,16,10,6,0.625,48.6,107.9,39.4,85.1,46.3,13.0,36.2,35.9,16.0,19.1,83.7,10.1,36.4,46.5,23.8,14.3,6.6,6.4,4.5,18.3,18.1,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,San Antonio Spurs,17,5,12,0.294,48.6,111.1,42.9,95.0,45.2,11.5,34.2,33.7,13.7,17.9,76.4,12.3,33.6,45.9,26.8,12.4,6.6,5.3,5.4,18.6,17.5,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Oklahoma City Thunder,14,2,12,0.143,48.4,101.9,38.0,90.1,42.2,12.1,38.4,31.4,13.9,17.5,79.2,10.9,33.9,44.8,22.4,13.1,8.6,4.1,6.7,19.4,17.4,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Orlando Magic,15,4,11,0.267,48.3,104.6,38.7,87.1,44.4,11.2,33.3,33.6,16.1,20.2,79.5,8.2,34.5,42.7,24.6,14.7,7.4,5.0,5.3,20.9,19.5,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Philadelphia 76ers,15,12,3,0.8,48.3,112.1,41.3,85.8,48.2,11.1,30.3,36.6,18.3,23.0,79.7,9.3,34.3,43.7,24.9,13.7,7.5,5.3,4.7,18.9,19.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,Brooklyn Nets,16,6,10,0.375,48.3,115.1,43.6,91.0,47.9,10.1,29.1,34.6,17.8,21.1,84.3,12.2,33.1,45.3,25.2,14.0,7.6,5.3,6.0,20.1,18.6,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Denver Nuggets,16,11,5,0.688,48.3,115.8,42.7,86.3,49.5,13.1,35.6,36.8,17.3,21.3,81.5,10.1,34.8,44.9,30.1,14.8,6.9,3.1,4.6,20.1,20.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
