,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Memphis Grizzlies,15,9,6,0.6,49.3,105.3,39.3,84.0,46.7,10.1,27.4,36.7,16.7,22.3,74.9,7.9,31.5,39.5,24.1,13.5,8.2,7.1,4.5,22.9,22.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,LA Clippers,14,11,3,0.786,49.1,118.5,42.4,90.1,47.1,9.9,25.7,38.6,23.7,29.6,80.2,9.9,36.7,46.6,22.6,13.3,6.0,5.2,6.3,22.6,25.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Philadelphia 76ers,16,12,4,0.75,48.9,115.7,40.4,85.1,47.5,10.7,29.7,36.0,24.1,31.2,77.4,9.6,36.8,46.4,26.4,16.4,7.1,5.1,4.4,23.8,25.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Detroit Pistons,12,8,4,0.667,48.8,111.9,40.3,91.4,44.1,11.8,35.3,33.3,19.5,26.8,72.7,12.9,34.2,47.1,23.1,14.7,7.9,3.7,5.6,23.6,24.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Charlotte Hornets,14,7,7,0.5,48.7,114.2,42.2,91.4,46.2,11.6,33.2,34.8,18.2,23.1,78.9,8.9,35.4,44.2,24.1,13.1,8.4,4.4,6.4,20.4,21.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Golden State Warriors,14,7,7,0.5,48.7,111.0,41.4,87.4,47.4,10.2,28.4,36.0,17.9,21.7,82.6,10.3,35.6,45.9,26.0,14.6,6.2,6.6,4.4,21.8,20.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Boston Celtics,15,7,8,0.467,48.7,110.7,41.6,91.1,45.6,13.6,36.7,37.1,13.9,17.7,78.9,10.5,33.9,44.4,25.5,13.4,9.1,5.8,4.1,21.0,19.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Brooklyn Nets,15,5,10,0.333,48.7,110.9,39.9,90.4,44.2,11.5,34.1,33.9,19.5,26.5,73.6,13.1,31.9,45.1,21.5,13.7,7.2,3.9,4.9,25.0,22.7,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,Chicago Bulls,15,3,12,0.2,48.7,99.8,37.4,87.1,42.9,9.0,28.4,31.7,16.0,19.9,80.5,7.1,35.1,42.1,21.7,15.7,8.2,4.7,6.8,19.1,19.3,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,Houston Rockets,15,9,6,0.6,48.7,111.0,38.7,83.5,46.3,14.9,42.9,34.6,18.8,24.7,76.2,10.9,29.9,40.7,21.4,14.8,8.1,5.9,4.1,23.3,21.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7,New York Knicks,15,5,10,0.333,48.7,108.8,39.4,90.3,43.6,8.7,27.7,31.3,21.3,26.9,79.2,12.9,34.3,47.2,18.1,15.0,7.6,6.7,7.3,24.5,22.4,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7,Toronto Raptors,15,12,3,0.8,48.7,117.7,44.3,88.5,50.1,12.0,33.9,35.4,17.1,21.3,80.0,10.0,35.5,45.5,25.5,15.9,8.2,5.1,4.9,21.7,20.5,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
