,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Washington Wizards,13,8,5,0.615,49.9,105.2,40.8,87.5,46.7,8.1,20.4,39.6,15.4,21.3,72.2,10.8,30.4,41.2,23.5,12.3,8.9,4.7,4.3,20.6,21.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Toronto Raptors,12,7,5,0.583,49.3,103.4,37.7,83.7,45.0,8.2,23.5,34.8,19.9,25.6,77.9,11.3,30.0,41.3,23.5,12.9,6.7,4.0,4.1,25.5,23.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,New York Knicks,13,2,11,0.154,49.2,100.0,37.9,84.8,44.7,9.8,26.8,36.8,14.3,19.6,72.9,11.2,30.3,41.5,20.0,14.5,7.2,3.5,3.8,21.9,19.9,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Orlando Magic,12,5,7,0.417,48.8,98.0,38.2,86.1,44.3,6.7,17.1,39.0,15.0,18.9,79.3,10.7,31.8,42.5,22.3,12.4,7.8,4.7,4.9,19.4,18.0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,San Antonio Spurs,12,9,3,0.75,48.8,103.3,38.8,81.8,47.4,7.3,20.8,34.8,18.6,22.3,83.5,8.4,33.6,42.0,23.0,15.5,6.7,5.8,4.8,18.6,20.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Houston Rockets,10,8,2,0.8,48.5,111.9,40.0,81.4,49.1,9.8,24.3,40.3,22.1,29.4,75.2,11.3,35.2,46.5,22.8,18.3,8.2,5.3,4.5,19.3,23.2,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Golden State Warriors,11,7,4,0.636,48.5,102.5,38.0,86.6,43.9,8.5,24.1,35.5,18.0,23.0,78.3,11.8,33.1,44.9,22.1,13.1,8.4,5.8,4.0,21.0,20.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Denver Nuggets,12,3,9,0.25,48.4,97.6,35.4,86.5,40.9,8.1,23.8,34.0,18.7,27.4,68.1,14.9,30.9,45.8,18.3,17.9,6.8,5.8,6.1,23.2,22.1,-13.6,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Indiana Pacers,12,9,3,0.75,48.4,101.2,37.3,82.8,45.1,6.5,19.1,34.1,20.0,25.1,79.7,10.9,35.9,46.8,20.3,16.2,7.7,5.8,4.9,19.3,22.4,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,Memphis Grizzlies,12,7,5,0.583,48.4,93.0,37.1,80.4,46.1,4.6,13.7,33.5,14.3,18.6,76.7,9.5,30.3,39.8,21.9,14.1,8.0,5.4,5.8,20.5,17.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
