,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Philadelphia 76ers,16,5,11,0.313,49.3,102.5,39.4,88.8,44.4,7.3,22.3,32.5,16.4,23.9,68.4,12.3,34.0,46.3,23.0,17.7,8.1,4.9,7.9,19.7,20.1,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Washington Wizards,16,8,8,0.5,49.3,98.9,37.8,84.5,44.7,8.9,22.9,39.0,14.4,19.6,73.2,10.1,31.1,41.2,23.9,15.5,9.6,4.4,4.1,17.8,18.9,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Toronto Raptors,14,5,9,0.357,49.1,97.1,34.6,82.4,42.0,7.5,21.9,34.2,20.5,26.4,77.8,12.6,30.9,43.4,17.6,14.9,6.7,4.5,5.4,23.2,22.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Cleveland Cavaliers,16,4,12,0.25,48.9,92.1,34.9,83.4,41.9,7.0,20.0,35.0,15.3,20.0,76.3,10.9,30.8,41.7,18.1,16.8,8.4,4.5,5.7,20.8,18.6,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Houston Rockets,17,12,5,0.706,48.9,110.2,38.0,77.6,49.0,10.4,27.2,38.2,23.8,33.7,70.7,10.3,35.6,45.9,22.0,18.5,8.2,6.8,5.9,21.4,26.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Oklahoma City Thunder,13,10,3,0.769,48.8,103.7,37.3,82.6,45.2,6.0,18.8,31.8,23.1,28.7,80.4,11.9,36.0,47.9,21.8,16.6,7.5,5.8,4.3,21.6,21.3,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Golden State Warriors,15,8,7,0.533,48.7,99.8,37.6,81.6,46.1,9.3,22.8,40.9,15.3,21.5,71.1,9.6,35.5,45.1,22.5,17.1,7.4,5.2,4.8,21.9,20.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Memphis Grizzlies,15,8,7,0.533,48.7,93.5,36.4,79.3,45.9,4.2,13.6,30.9,16.5,20.8,79.5,10.0,30.8,40.8,22.1,14.3,7.2,4.3,5.1,20.7,20.1,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,Milwaukee Bucks,15,3,12,0.2,48.7,89.6,33.7,81.7,41.2,7.7,19.9,38.6,14.6,18.9,77.1,10.7,29.7,40.5,21.2,16.3,6.9,5.0,4.5,20.6,19.1,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,Brooklyn Nets,16,5,11,0.313,48.6,95.9,34.9,80.1,43.5,6.6,18.3,35.8,19.6,25.9,75.4,10.6,31.5,42.1,19.8,15.0,7.1,4.1,4.2,22.3,21.5,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Chicago Bulls,13,6,7,0.462,48.4,92.9,35.2,81.3,43.2,4.9,13.9,35.4,17.7,22.5,78.8,12.5,33.5,46.0,21.5,16.1,6.2,4.2,6.4,19.8,20.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,New York Knicks,13,2,11,0.154,48.4,93.5,35.9,85.9,41.8,8.1,25.5,31.6,13.5,18.0,75.2,11.5,29.2,40.8,19.4,11.7,7.2,4.2,4.8,23.8,18.2,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,Sacramento Kings,13,3,10,0.231,48.4,96.4,36.2,84.4,42.9,6.9,21.8,31.8,17.0,21.8,77.8,10.8,30.5,41.2,21.5,13.0,7.8,3.1,5.8,23.6,20.9,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Indiana Pacers,14,13,1,0.929,48.4,97.2,36.1,80.5,44.9,7.2,20.0,36.1,17.7,22.7,78.0,10.5,35.6,46.1,20.8,15.9,7.7,6.5,4.9,19.6,22.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,Detroit Pistons,15,5,10,0.333,48.3,97.3,38.1,84.7,45.0,5.4,19.2,28.1,15.6,23.7,65.7,13.7,28.7,42.4,19.9,14.4,10.1,4.5,4.5,20.1,19.9,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Los Angeles Clippers,15,11,4,0.733,48.3,105.8,38.9,81.9,47.4,8.3,24.1,34.5,19.7,27.6,71.5,10.5,33.1,43.7,24.7,14.7,7.8,4.7,3.7,23.2,24.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Portland Trail Blazers,15,13,2,0.867,48.3,104.9,39.1,85.7,45.6,9.9,23.5,42.3,16.8,21.0,80.0,12.5,32.4,44.9,23.1,14.3,6.1,4.5,2.9,19.4,21.1,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,Phoenix Suns,16,8,8,0.5,48.3,101.6,37.5,81.1,46.2,9.6,25.6,37.6,16.9,22.9,74.0,10.2,30.6,40.8,18.6,15.9,8.6,4.8,3.6,21.2,20.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,Utah Jazz,17,3,14,0.176,48.3,90.1,34.0,80.2,42.4,5.6,18.2,31.1,16.4,22.8,71.9,12.3,27.9,40.2,18.9,16.9,7.5,4.3,5.0,21.8,22.1,-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,Atlanta Hawks,17,9,8,0.529,48.0,98.1,36.8,80.5,45.7,7.6,21.5,35.5,16.9,22.7,74.4,8.2,32.2,40.5,23.8,15.1,8.2,4.8,4.4,18.4,20.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,Boston Celtics,18,7,11,0.389,48.0,93.3,36.3,82.1,44.3,6.0,17.8,33.8,14.7,19.1,76.7,10.7,31.2,41.9,17.9,16.4,7.1,4.8,4.8,21.2,18.6,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,Charlotte Bobcats,16,8,8,0.5,48.0,89.0,32.3,78.8,41.0,4.6,15.4,30.0,19.8,28.5,69.3,11.8,31.4,43.3,18.5,14.8,6.2,5.1,5.8,20.1,23.6,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20,Dallas Mavericks,17,9,8,0.529,48.0,103.7,38.7,84.2,46.0,8.7,23.1,37.8,17.6,21.5,81.9,10.6,30.3,40.9,22.4,15.2,9.5,4.5,3.8,21.2,19.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,Denver Nuggets,14,9,5,0.643,48.0,105.6,39.1,86.0,45.4,8.3,21.6,38.4,19.2,27.4,70.1,12.1,33.6,45.7,21.9,14.5,7.2,5.4,5.4,22.4,22.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
