,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Chicago Bulls,17,8,9,0.471,49.2,101.5,36.9,86.6,42.6,7.6,22.1,34.7,20.1,25.4,79.2,13.7,32.3,46.0,20.8,13.8,7.4,7.4,6.4,17.5,21.5,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Washington Wizards,17,9,8,0.529,48.9,100.1,39.1,81.4,48.0,6.1,16.8,36.0,15.9,21.4,74.5,10.0,34.8,44.8,24.0,15.5,6.5,4.5,3.8,19.1,19.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Brooklyn Nets,15,3,12,0.2,48.7,93.4,36.2,81.9,44.2,5.5,20.3,26.9,15.5,20.7,74.9,9.5,32.3,41.7,20.1,14.4,7.3,4.3,4.3,19.8,18.6,-8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Los Angeles Lakers,15,3,12,0.2,48.7,93.4,35.4,82.4,43.0,5.2,17.3,30.0,17.4,23.1,75.4,10.3,34.4,44.7,19.9,14.3,6.6,3.8,4.7,20.4,18.2,-6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,Phoenix Suns,15,10,5,0.667,48.7,107.3,41.2,87.6,47.0,8.6,26.5,32.5,16.3,21.4,76.3,10.7,33.2,43.9,21.1,15.6,9.8,5.5,4.3,21.1,19.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Boston Celtics,16,5,11,0.313,48.6,98.0,37.9,87.9,43.1,8.1,23.4,34.4,14.2,19.0,74.7,10.9,31.8,42.6,22.4,13.6,7.4,4.1,6.4,21.6,17.5,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Dallas Mavericks,16,9,7,0.563,48.6,101.3,38.6,84.4,45.7,9.6,25.8,37.0,14.6,19.5,75.0,9.8,32.4,42.2,22.8,12.5,8.1,4.4,3.6,18.9,20.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,Indiana Pacers,16,5,11,0.313,48.6,95.3,35.4,82.7,42.8,5.9,20.8,28.5,18.6,23.3,79.9,10.6,34.6,45.2,21.3,15.6,7.0,4.1,4.6,20.6,22.4,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,Memphis Grizzlies,16,12,4,0.75,48.6,99.8,38.5,83.3,46.2,5.1,15.8,32.4,17.7,23.0,76.9,10.9,34.6,45.4,21.4,14.1,8.5,4.9,4.9,18.8,21.0,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,Toronto Raptors,16,9,7,0.563,48.6,104.0,38.1,83.7,45.6,8.6,26.3,32.8,19.1,24.8,77.1,11.0,31.3,42.3,22.0,15.1,7.6,5.1,4.6,21.4,20.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Charlotte Hornets,14,10,4,0.714,48.4,93.7,35.2,85.1,41.4,4.5,16.4,27.4,18.8,26.5,70.9,12.2,36.6,48.8,20.2,11.9,6.1,6.5,6.9,18.4,21.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Oklahoma City Thunder,14,7,7,0.5,48.4,98.9,37.9,89.0,42.5,7.6,24.8,30.5,15.6,21.2,73.7,11.7,35.6,47.4,20.6,14.4,8.5,6.1,4.4,21.4,17.8,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,Sacramento Kings,14,4,10,0.286,48.4,100.1,36.4,81.6,44.6,5.1,16.5,30.7,22.3,27.6,80.8,10.6,34.5,45.1,18.6,16.6,7.4,3.4,5.8,19.9,22.7,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Golden State Warriors,15,12,3,0.8,48.3,116.2,43.9,90.7,48.5,11.5,28.3,40.7,16.8,21.9,76.6,10.9,33.5,44.4,29.3,13.3,9.7,5.6,3.5,19.2,19.3,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,Denver Nuggets,16,6,10,0.375,48.3,98.9,37.7,85.9,43.9,6.8,20.8,32.7,16.7,22.8,73.4,10.8,34.0,44.8,23.1,13.3,6.6,4.8,6.2,21.1,19.8,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Atlanta Hawks,17,17,0,1.0,48.0,105.6,38.8,80.6,48.1,10.8,26.1,41.5,17.3,22.5,77.0,8.7,32.9,41.6,27.0,13.5,9.2,4.1,4.5,17.0,20.1,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Cleveland Cavaliers,17,11,6,0.647,48.0,102.3,37.6,84.4,44.6,10.1,28.4,35.7,16.9,23.1,73.0,12.9,32.1,45.1,19.3,13.2,7.5,3.8,4.6,18.1,20.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,Detroit Pistons,17,10,7,0.588,48.0,101.3,37.2,85.9,43.3,9.5,28.0,34.0,17.3,23.1,75.0,13.3,33.4,46.7,22.5,14.6,8.8,4.3,4.7,17.3,19.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16,Houston Rockets,17,11,6,0.647,48.0,105.7,38.8,85.0,45.7,11.6,32.1,36.1,16.5,22.1,74.5,11.6,29.9,41.5,23.5,17.1,11.1,3.8,5.6,21.4,18.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16,Los Angeles Clippers,15,11,4,0.733,48.0,109.1,40.5,84.6,47.9,9.6,26.4,36.4,18.4,24.8,74.2,10.2,32.7,42.9,25.1,10.9,7.9,5.2,3.1,19.9,19.4,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,
20,16,Miami Heat,13,6,7,0.462,48.0,87.5,33.0,76.2,43.3,5.2,18.2,28.8,16.2,21.4,75.9,9.2,32.8,42.0,20.2,14.9,6.5,5.5,4.2,18.4,19.5,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
21,16,Milwaukee Bucks,14,8,6,0.571,48.0,97.3,37.9,80.6,47.0,7.4,18.0,40.9,14.1,18.6,75.8,10.5,31.6,42.1,25.8,17.4,11.0,5.4,3.9,21.9,18.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16,Minnesota Timberwolves,17,3,14,0.176,48.0,95.5,36.2,83.5,43.3,5.9,17.5,33.7,17.3,21.1,81.9,11.6,28.7,40.4,21.4,14.9,7.5,3.7,5.9,16.9,19.3,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
23,16,New Orleans Pelicans,15,9,6,0.6,48.0,97.2,36.5,80.7,45.3,6.5,17.5,37.0,17.7,23.0,76.8,12.8,33.1,45.9,20.6,14.2,6.3,6.0,6.0,17.9,18.9,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,16,New York Knicks,13,4,9,0.308,48.0,89.0,34.5,82.2,41.9,8.5,22.6,37.8,11.5,16.4,70.4,10.0,31.3,41.3,22.5,14.8,7.4,4.5,5.4,20.7,17.7,-9.7,,,,,,,,,,,,,,,,,,,,,,,,,,
25,16,Orlando Magic,15,2,13,0.133,48.0,100.0,38.1,84.6,45.1,6.7,20.1,33.4,17.0,22.6,75.2,9.3,30.8,40.1,21.3,14.9,9.3,3.3,5.4,22.3,19.1,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
26,16,Philadelphia 76ers,18,6,12,0.333,48.0,88.1,32.7,80.3,40.7,7.4,23.8,31.1,15.3,21.9,69.9,12.1,29.6,41.6,20.7,17.2,9.2,6.9,5.1,20.2,19.6,-9.4,,,,,,,,,,,,,,,,,,,,,,,,,,
27,16,Portland Trail Blazers,15,6,9,0.4,48.0,99.0,36.6,86.3,42.4,10.4,29.5,35.2,15.4,19.2,80.2,9.8,33.0,42.8,21.0,12.9,7.3,4.1,3.5,17.8,18.8,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
28,16,San Antonio Spurs,14,10,4,0.714,48.0,98.1,36.3,83.9,43.2,8.4,23.8,35.4,17.1,22.1,77.1,10.1,32.7,42.8,24.0,13.4,7.6,5.1,5.9,19.1,19.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
29,16,Utah Jazz,15,6,9,0.4,48.0,95.0,35.4,80.3,44.1,8.1,23.0,35.4,16.1,21.5,74.6,12.4,32.1,44.5,20.6,16.7,8.4,7.2,4.6,18.4,17.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
