,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Detroit Pistons,15,9,6,0.6,50.0,107.1,39.5,89.5,44.2,9.7,26.7,36.5,18.3,27.9,65.8,13.1,34.9,48.0,19.5,14.4,8.2,3.9,4.5,19.3,23.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Chicago Bulls,15,8,7,0.533,49.7,103.3,39.1,89.8,43.6,7.1,21.3,33.4,17.9,23.2,77.0,13.6,37.2,50.8,22.5,15.3,6.5,7.0,4.5,18.2,19.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Golden State Warriors,13,11,2,0.846,48.8,112.3,41.0,86.8,47.3,11.8,28.7,41.0,18.5,25.5,72.8,11.2,37.1,48.2,27.4,15.9,8.2,6.8,4.5,19.8,21.6,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Boston Celtics,14,8,6,0.571,48.7,104.6,39.0,88.4,44.1,9.4,26.8,34.9,17.2,22.3,77.2,9.7,35.5,45.2,23.9,14.0,7.2,4.8,4.9,22.9,20.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,Dallas Mavericks,14,9,5,0.643,48.7,105.1,38.5,85.3,45.1,11.7,30.2,38.8,16.4,20.4,80.4,9.8,34.1,43.9,22.3,12.8,6.9,3.5,3.9,17.8,20.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Miami Heat,15,8,7,0.533,48.7,97.7,37.3,78.3,47.7,7.3,20.7,35.2,15.8,21.8,72.5,7.8,32.9,40.7,20.3,13.8,6.7,5.9,3.1,16.4,18.9,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,New Orleans Pelicans,15,6,9,0.4,48.7,101.8,37.1,82.1,45.2,8.5,23.0,37.1,19.0,23.9,79.6,8.6,33.5,42.1,21.3,14.3,7.0,5.8,4.3,21.1,19.7,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,Utah Jazz,15,6,9,0.4,48.7,98.1,35.0,80.7,43.4,9.3,25.9,36.0,18.7,24.4,76.8,11.3,31.3,42.5,17.6,14.6,7.1,4.1,4.1,20.8,20.9,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,Indiana Pacers,16,7,9,0.438,48.6,103.6,38.6,86.9,44.4,8.9,26.1,34.2,17.6,22.6,77.6,10.6,32.4,43.0,19.0,14.6,9.1,3.8,5.5,19.2,19.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Minnesota Timberwolves,16,4,12,0.25,48.6,99.0,36.6,81.6,44.9,4.8,15.0,32.1,20.9,26.4,79.2,10.1,30.9,41.0,22.6,14.9,8.1,4.6,5.2,22.1,21.3,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Cleveland Cavaliers,13,8,5,0.615,48.4,95.2,35.2,82.4,42.7,9.1,27.4,33.1,15.8,21.1,75.2,10.4,32.3,42.7,19.8,14.4,8.0,3.4,4.8,19.7,20.4,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,Charlotte Hornets,14,7,7,0.5,48.4,102.5,35.9,84.4,42.5,10.7,31.6,33.9,20.1,25.9,77.6,10.0,34.7,44.7,21.9,13.5,7.4,5.5,5.4,20.1,20.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,Brooklyn Nets,15,5,10,0.333,48.3,98.5,39.0,85.3,45.7,6.1,17.5,34.6,14.5,19.5,74.3,11.3,32.3,43.6,22.7,14.9,8.1,3.5,4.9,18.7,17.6,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Denver Nuggets,15,6,9,0.4,48.3,101.8,38.5,86.1,44.7,9.4,25.7,36.6,15.5,20.9,74.1,11.9,32.9,44.8,23.4,13.7,7.0,4.7,6.0,20.1,19.7,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,Oklahoma City Thunder,15,12,3,0.8,48.3,108.4,40.5,83.3,48.7,6.7,19.3,34.5,20.7,25.7,80.5,12.3,34.9,47.2,21.7,14.2,7.9,5.5,3.7,17.5,20.0,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,
15,13,Toronto Raptors,15,9,6,0.6,48.3,99.4,35.7,81.5,43.7,8.0,24.3,32.9,20.1,25.7,78.2,9.5,34.1,43.7,18.1,12.1,8.1,5.4,5.8,18.7,20.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,LA Clippers,16,11,5,0.688,48.3,102.3,37.3,82.6,45.1,9.8,26.3,37.1,18.1,25.1,72.1,9.3,32.7,42.0,23.8,13.6,7.9,4.8,3.8,20.6,22.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Memphis Grizzlies,16,8,8,0.5,48.3,96.7,36.9,82.3,44.9,5.1,16.3,31.0,17.8,23.0,77.2,10.3,31.1,41.4,21.4,12.6,8.3,4.7,5.2,19.6,19.6,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,Los Angeles Lakers,17,4,13,0.235,48.3,96.5,36.0,86.8,41.5,8.2,25.5,32.1,16.3,22.4,72.9,11.7,30.6,42.3,18.5,14.0,7.7,3.8,5.5,20.0,17.4,-11.9,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Portland Trail Blazers,17,7,10,0.412,48.3,102.4,38.1,85.8,44.3,11.0,29.9,36.7,15.3,20.4,74.9,12.5,33.7,46.2,21.5,15.3,6.7,3.2,5.2,21.0,18.2,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,Phoenix Suns,18,4,14,0.222,48.3,99.6,37.7,83.6,45.1,8.9,24.5,36.5,15.2,20.3,74.9,10.1,30.8,40.8,21.0,17.1,8.9,3.6,4.7,21.9,19.8,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,Atlanta Hawks,14,9,5,0.643,48.0,101.5,38.3,82.7,46.3,8.2,25.7,31.9,16.7,21.2,78.8,8.1,30.8,38.9,24.4,14.1,9.5,5.5,4.4,19.6,18.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,Houston Rockets,16,9,7,0.563,48.0,106.9,37.4,81.2,46.1,11.7,29.9,39.1,20.4,29.2,69.8,10.2,31.8,42.0,22.7,16.6,10.3,4.6,5.1,21.4,22.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22,Milwaukee Bucks,16,6,10,0.375,48.0,99.0,39.8,84.5,47.0,4.6,13.6,34.1,14.9,19.8,75.3,9.8,32.4,42.2,23.4,14.9,7.7,6.1,5.8,23.2,18.3,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22,New York Knicks,15,7,8,0.467,48.0,99.3,37.1,82.0,45.2,7.1,21.7,32.8,18.1,22.3,80.9,9.3,33.6,42.9,21.3,14.4,5.7,5.7,3.5,18.8,19.2,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22,Orlando Magic,15,10,5,0.667,48.0,100.1,39.8,82.7,48.1,7.3,19.7,36.9,13.2,17.2,76.7,9.1,31.8,40.9,22.7,14.3,9.3,3.8,4.9,19.7,17.3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
26,22,Philadelphia 76ers,16,3,13,0.188,48.0,94.5,34.8,81.3,42.7,8.5,26.3,32.3,16.5,24.5,67.3,10.1,31.6,41.8,19.2,18.3,7.3,6.1,5.9,21.6,19.9,-11.6,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22,Sacramento Kings,13,5,8,0.385,48.0,102.5,38.2,83.8,45.6,8.1,23.7,34.1,18.0,25.5,70.5,9.4,34.5,43.8,24.8,17.2,8.7,4.2,5.0,20.2,22.5,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
28,22,San Antonio Spurs,16,14,2,0.875,48.0,105.6,41.0,80.9,50.7,7.2,18.3,39.2,16.4,21.2,77.6,9.5,35.9,45.4,25.6,13.8,8.4,5.5,3.6,17.5,20.3,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,
29,22,Washington Wizards,16,8,8,0.5,48.0,103.4,39.3,84.4,46.6,9.1,23.9,38.0,15.8,21.1,74.8,8.3,31.1,39.4,24.6,14.2,8.3,3.2,4.4,19.8,18.7,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
