,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Dallas Mavericks,15,11,4,0.733,49.0,105.5,40.3,85.4,47.2,7.3,18.5,39.2,17.7,22.2,79.9,11.1,32.4,43.5,23.9,12.9,8.1,5.9,4.5,20.0,21.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Los Angeles Lakers,14,12,2,0.857,48.7,105.9,41.4,88.1,47.0,7.1,19.3,36.7,15.9,21.4,74.6,12.0,34.6,46.6,25.3,14.3,8.1,5.4,4.7,20.3,20.9,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Milwaukee Bucks,14,8,6,0.571,48.7,100.1,38.6,87.4,44.2,8.9,22.3,40.1,14.0,19.3,72.6,12.9,31.8,44.6,22.6,14.5,7.2,4.4,5.4,22.4,20.2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,New Orleans Hornets,15,6,9,0.4,48.7,99.8,37.3,85.8,43.4,8.5,22.9,37.2,16.7,20.9,79.9,12.7,29.8,42.5,21.9,14.2,7.4,3.7,5.5,21.3,21.5,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,San Antonio Spurs,12,7,5,0.583,48.4,100.5,36.4,79.6,45.8,7.4,19.6,37.9,20.3,26.8,75.7,11.0,32.6,43.6,22.1,13.5,5.3,5.6,5.8,22.3,22.5,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Sacramento Kings,13,8,5,0.615,48.4,107.5,40.2,82.5,48.6,7.3,17.8,40.9,19.9,26.2,76.0,11.7,32.1,43.8,19.8,16.6,7.5,4.9,5.7,22.5,21.6,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Boston Celtics,14,10,4,0.714,48.4,99.5,38.6,78.2,49.3,5.7,18.3,31.3,16.6,22.8,73.0,8.9,28.7,37.6,24.2,14.5,9.0,4.4,3.9,20.8,21.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Detroit Pistons,14,5,9,0.357,48.4,93.5,35.6,80.6,44.2,4.5,13.8,32.6,17.7,24.1,73.4,13.4,28.4,41.8,15.8,13.4,6.6,4.4,6.0,22.8,21.0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,Houston Rockets,14,7,7,0.5,48.4,102.1,39.3,88.3,44.5,7.4,22.8,32.3,16.1,20.6,78.5,14.3,29.8,44.1,22.1,14.6,7.9,4.1,7.1,21.2,20.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,New York Knicks,14,3,11,0.214,48.4,100.9,37.6,84.9,44.3,8.7,26.5,32.9,16.9,21.6,78.1,9.7,30.4,40.1,21.4,14.9,8.1,4.1,5.1,22.4,20.2,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
