,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Los Angeles Lakers,16,8,8,0.5,49.9,111.1,41.1,90.1,45.6,11.4,34.1,33.6,17.6,23.4,74.9,10.0,37.4,47.4,24.3,15.7,8.3,5.7,3.7,20.3,20.9,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Minnesota Timberwolves,16,8,8,0.5,48.9,109.3,40.1,92.7,43.3,14.3,42.5,33.5,14.8,19.4,75.9,13.7,32.6,46.3,23.7,15.9,8.8,5.8,5.4,23.6,19.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Sacramento Kings,16,5,11,0.313,48.9,109.6,40.3,90.0,44.7,11.3,34.9,32.4,17.8,24.1,73.6,10.8,33.5,44.3,22.1,14.4,7.4,4.9,5.8,19.8,20.6,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Philadelphia 76ers,15,7,8,0.467,48.7,105.6,39.0,87.1,44.8,11.1,31.7,34.9,16.5,20.7,80.0,9.5,33.2,42.7,22.7,12.1,8.2,5.4,4.8,19.1,18.9,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Charlotte Hornets,16,8,8,0.5,48.6,112.6,42.0,93.4,45.0,13.7,37.3,36.7,14.9,20.1,74.5,10.9,33.8,44.8,25.9,13.3,9.1,5.7,5.3,19.7,19.3,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Dallas Mavericks,13,6,7,0.462,48.4,106.9,39.9,88.0,45.4,12.7,37.1,34.2,14.4,19.3,74.5,9.5,33.2,42.8,23.5,11.2,7.8,4.1,3.9,18.5,18.2,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Houston Rockets,14,3,11,0.214,48.4,104.3,37.9,86.6,43.8,12.1,37.5,32.4,16.3,23.9,68.1,9.2,36.4,45.6,22.2,18.1,6.3,4.9,5.9,19.1,22.1,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Milwaukee Bucks,14,10,4,0.714,48.4,110.6,40.3,87.4,46.1,15.3,40.0,38.2,14.8,20.5,72.1,10.0,38.6,48.6,23.6,14.3,7.1,4.9,4.4,16.4,18.8,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,Boston Celtics,15,9,6,0.6,48.3,104.5,37.9,86.8,43.7,11.5,35.0,32.8,17.1,20.9,81.8,11.1,36.1,47.2,21.9,13.5,6.9,4.5,4.1,17.1,19.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Memphis Grizzlies,15,8,7,0.533,48.3,109.2,41.7,93.3,44.7,10.9,33.1,32.9,14.9,19.7,75.6,12.6,34.9,47.5,24.5,12.7,8.8,6.5,6.5,19.0,18.5,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,Miami Heat,15,8,7,0.533,48.3,106.7,38.7,83.8,46.1,12.1,34.8,34.7,17.3,21.9,79.3,9.9,32.5,42.4,24.2,13.9,7.5,2.4,4.2,20.7,20.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,Indiana Pacers,16,8,8,0.5,48.3,106.8,40.9,89.6,45.7,11.9,36.4,32.6,13.0,17.1,75.9,10.4,36.3,46.7,24.1,13.5,7.1,6.1,4.3,20.1,17.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,LA Clippers,16,10,6,0.625,48.3,105.9,38.8,85.5,45.3,12.9,35.8,36.2,15.4,18.6,83.2,8.9,37.2,46.1,21.7,16.4,7.0,4.5,4.1,16.6,19.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Atlanta Hawks,15,8,7,0.533,48.0,112.1,41.3,87.9,47.0,12.5,33.1,37.9,17.0,21.0,81.0,9.5,35.1,44.7,23.5,11.5,7.2,4.4,4.4,17.4,19.8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Brooklyn Nets,14,11,3,0.786,48.0,112.1,40.4,85.7,47.2,13.2,34.4,38.4,18.0,21.5,83.7,8.5,35.0,43.5,26.9,13.6,6.9,5.1,4.2,18.6,20.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,Chicago Bulls,16,9,7,0.563,48.0,110.0,41.7,87.6,47.6,11.2,30.5,36.7,15.4,18.8,82.1,9.4,34.8,44.2,23.4,13.9,7.9,3.7,5.6,19.6,17.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,Cleveland Cavaliers,14,8,6,0.571,48.0,104.1,38.3,84.9,45.1,12.5,35.5,35.2,15.0,19.6,76.4,10.1,34.8,44.9,23.6,15.9,6.9,3.8,5.4,16.6,18.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14,Denver Nuggets,14,6,8,0.429,48.0,104.6,39.1,86.6,45.2,12.5,36.4,34.4,13.9,17.9,77.6,9.6,32.6,42.1,24.3,11.5,6.4,3.9,5.0,17.4,17.9,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
18,14,Detroit Pistons,15,3,12,0.2,48.0,99.7,35.3,87.3,40.4,11.3,38.1,29.8,17.8,22.1,80.4,10.7,32.3,43.1,21.5,14.7,7.6,4.5,5.0,20.0,20.3,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,14,Golden State Warriors,15,13,2,0.867,48.0,114.1,41.5,85.5,48.5,15.1,41.5,36.3,16.1,20.8,77.2,10.2,36.2,46.4,29.3,16.3,10.4,4.6,3.3,20.1,18.3,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,
20,14,New Orleans Pelicans,16,5,11,0.313,48.0,102.2,37.4,87.5,42.8,10.8,31.8,33.8,16.6,20.0,82.8,11.4,33.3,44.7,24.3,14.8,7.8,3.5,4.8,19.8,19.5,-6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14,New York Knicks,15,6,9,0.4,48.0,102.3,37.1,86.3,43.0,12.2,35.3,34.5,15.9,20.3,78.4,10.7,35.3,45.9,20.8,13.9,6.5,5.5,4.6,18.9,18.4,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14,Oklahoma City Thunder,14,5,9,0.357,48.0,99.1,36.6,90.6,40.4,12.1,39.2,31.0,13.6,18.4,74.3,11.0,38.6,49.6,20.4,13.6,7.1,5.0,6.2,17.4,15.6,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
23,14,Orlando Magic,15,3,12,0.2,48.0,98.3,36.2,89.9,40.3,11.7,38.8,30.2,14.2,19.0,74.7,9.9,35.4,45.3,21.5,14.2,7.3,4.9,6.8,19.4,18.6,-10.7,,,,,,,,,,,,,,,,,,,,,,,,,,
24,14,Phoenix Suns,16,16,0,1.0,48.0,114.4,43.4,88.9,48.8,12.2,32.2,37.9,15.4,18.8,82.1,8.6,35.9,44.5,26.4,13.3,9.4,4.4,3.3,19.3,18.4,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,
25,14,Portland Trail Blazers,16,8,8,0.5,48.0,109.2,40.2,87.6,45.9,13.1,37.3,35.1,15.8,19.6,80.3,10.1,32.7,42.8,23.9,12.6,7.9,4.4,4.2,18.8,18.7,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,14,San Antonio Spurs,13,4,9,0.308,48.0,106.5,42.8,91.1,47.0,9.4,26.5,35.4,11.5,16.5,70.1,9.3,34.7,44.0,27.2,12.8,8.0,5.3,5.6,15.7,17.2,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
27,14,Toronto Raptors,15,5,10,0.333,48.0,105.9,39.9,90.7,43.9,11.5,33.1,34.7,14.7,18.5,79.5,12.9,29.4,42.3,20.9,12.3,8.7,5.1,5.3,19.7,16.7,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
28,14,Utah Jazz,15,9,6,0.6,48.0,113.9,41.3,85.5,48.4,15.4,41.7,36.9,15.8,21.3,74.3,9.6,35.4,45.0,23.7,14.3,7.7,5.5,4.3,19.3,19.6,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
29,14,Washington Wizards,15,8,7,0.533,48.0,103.0,38.9,83.3,46.8,10.1,31.6,32.1,15.0,19.3,77.6,8.9,35.8,44.7,24.5,14.6,5.9,5.1,3.9,17.9,18.5,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
