,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Chicago Bulls,15,5,10,0.333,49.7,110.9,40.6,91.0,44.6,12.9,33.3,38.7,16.9,20.9,80.8,9.3,35.4,44.7,24.6,14.2,7.3,4.1,4.8,19.5,19.1,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,New Orleans Pelicans,14,9,5,0.643,49.4,109.7,40.7,85.6,47.6,9.4,28.9,32.3,18.9,24.3,77.9,8.5,35.1,43.6,25.7,15.5,8.2,6.1,3.9,19.6,23.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,New York Knicks,16,5,11,0.313,49.3,106.6,40.8,85.8,47.6,8.8,21.8,40.1,16.2,20.7,78.2,8.9,34.3,43.2,23.8,14.9,6.2,6.6,3.9,20.7,19.3,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Toronto Raptors,15,10,5,0.667,48.7,112.0,41.3,90.6,45.6,11.0,31.4,35.0,18.3,22.9,79.9,10.8,35.9,46.7,22.8,12.7,6.8,6.7,5.2,22.3,20.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Brooklyn Nets,16,6,10,0.375,48.6,100.3,35.9,84.1,42.7,11.2,33.4,33.5,17.4,21.8,79.7,9.3,36.2,45.5,20.7,15.5,4.8,4.6,6.1,21.3,18.6,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Boston Celtics,12,7,5,0.583,48.4,101.8,38.9,89.6,43.4,11.8,33.8,34.8,12.2,15.9,76.4,9.8,35.9,45.8,22.3,13.7,7.1,4.8,5.8,21.3,16.4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Utah Jazz,13,6,7,0.462,48.4,104.2,39.5,84.9,46.5,10.2,29.3,34.9,15.0,19.8,75.9,8.8,34.5,43.4,20.9,14.5,9.7,5.0,4.5,19.0,18.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Washington Wizards,13,7,6,0.538,48.4,109.1,40.2,84.2,47.8,10.3,26.0,39.6,18.3,24.2,75.6,9.2,32.1,41.3,26.2,15.7,8.0,5.2,5.4,21.6,20.8,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,Dallas Mavericks,14,3,11,0.214,48.4,102.5,37.6,86.3,43.5,11.1,32.0,34.8,16.2,21.7,74.7,7.9,32.9,40.9,21.9,10.1,8.1,3.6,4.8,20.2,22.0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Detroit Pistons,14,3,11,0.214,48.4,104.3,40.1,87.9,45.7,10.3,27.6,37.2,13.7,18.7,73.3,8.8,33.4,42.1,24.2,12.8,7.9,4.6,4.9,18.4,16.6,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Los Angeles Lakers,15,8,7,0.533,48.3,105.3,40.3,87.4,46.1,9.5,29.3,32.3,15.1,22.1,68.6,10.6,35.0,45.6,24.1,15.7,8.9,3.5,4.7,20.1,19.9,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Miami Heat,15,10,5,0.667,48.3,99.8,38.1,83.9,45.4,10.0,29.7,33.7,13.5,18.6,72.8,9.1,36.2,45.3,23.7,14.8,6.3,6.3,5.0,20.3,19.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,Milwaukee Bucks,15,8,7,0.533,48.3,105.9,38.1,79.7,47.9,8.8,23.8,37.0,20.9,26.2,79.6,7.8,31.0,38.8,22.7,14.6,8.9,4.9,4.7,21.8,20.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Portland Trail Blazers,16,11,5,0.688,48.3,112.1,42.3,88.2,48.0,12.4,30.3,40.8,15.1,18.6,81.2,9.9,34.9,44.8,21.5,13.3,7.1,4.9,4.7,20.6,18.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,Atlanta Hawks,15,5,10,0.333,48.0,103.1,37.6,85.8,43.8,10.9,32.1,34.0,16.9,20.6,82.2,10.3,32.1,42.3,23.0,15.7,6.6,4.7,5.4,20.9,20.8,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Charlotte Hornets,14,8,6,0.571,48.0,109.6,39.9,87.2,45.8,10.9,29.1,37.6,18.9,25.9,72.9,9.9,35.4,45.3,20.9,12.0,7.2,5.0,5.5,17.1,21.3,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Cleveland Cavaliers,14,6,8,0.429,48.0,108.4,38.9,85.2,45.7,10.1,32.1,31.6,20.4,26.2,77.9,8.4,33.3,41.7,23.4,14.9,7.1,4.2,4.1,17.7,22.4,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15,Denver Nuggets,15,7,8,0.467,48.0,103.8,38.7,84.7,45.6,10.2,29.1,35.1,16.3,21.0,77.5,10.8,33.2,44.0,24.9,15.7,7.9,4.9,5.1,17.9,19.4,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15,Golden State Warriors,14,11,3,0.786,48.0,116.9,43.3,84.9,51.0,11.8,29.5,40.0,18.6,22.9,81.0,7.9,34.0,41.9,30.6,14.6,7.8,6.5,3.1,18.7,19.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,15,Houston Rockets,14,10,4,0.714,48.0,111.2,38.9,86.2,45.2,15.0,41.9,35.8,18.4,24.3,75.6,9.6,34.0,43.6,21.8,13.1,8.4,3.7,5.1,18.6,20.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
20,15,Indiana Pacers,15,10,5,0.667,48.0,105.4,42.1,84.6,49.7,7.8,23.1,33.8,13.5,17.8,75.7,8.2,32.4,40.6,22.1,12.3,9.1,2.8,4.9,19.3,17.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15,LA Clippers,15,9,6,0.6,48.0,112.5,41.1,85.3,48.2,9.1,25.6,35.4,21.1,28.3,74.6,9.1,33.2,42.3,24.6,15.7,8.6,4.9,5.4,20.3,24.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15,Memphis Grizzlies,13,6,7,0.462,48.0,102.8,37.9,83.1,45.6,9.1,25.9,35.0,17.9,22.7,79.0,10.9,31.4,42.3,21.7,15.5,7.8,4.8,5.4,24.8,20.5,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15,Minnesota Timberwolves,17,9,8,0.529,48.0,109.6,41.6,87.2,47.7,6.8,19.7,34.3,19.6,24.8,79.1,11.1,30.9,41.9,22.2,10.8,8.9,4.5,4.9,17.4,20.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15,Oklahoma City Thunder,14,10,4,0.714,48.0,112.9,42.9,90.1,47.5,10.6,29.9,35.4,16.6,23.6,70.4,13.9,33.2,47.1,21.7,13.4,8.6,5.0,3.8,19.7,20.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,15,Orlando Magic,13,3,10,0.231,48.0,107.7,40.2,86.8,46.4,10.1,29.2,34.6,17.2,22.2,77.2,11.0,31.0,42.0,24.1,14.3,6.8,5.0,5.5,20.5,20.3,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
