,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Oklahoma City Thunder,13,7,6,0.538,49.2,105.1,37.8,82.7,45.8,4.9,15.9,30.9,24.5,30.3,80.7,12.8,32.4,45.2,20.5,14.0,6.7,5.0,5.1,22.5,20.8,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Miami Heat,14,9,5,0.643,49.1,102.3,36.6,79.1,46.2,7.7,20.6,37.5,21.4,27.8,77.1,10.9,32.9,43.7,18.9,14.7,5.9,6.0,3.9,19.3,21.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Philadelphia 76ers,14,8,6,0.571,49.1,100.1,38.5,80.9,47.6,5.6,15.4,36.3,17.5,22.9,76.3,10.1,30.9,41.1,23.3,13.8,7.4,2.9,4.6,19.6,19.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Charlotte Bobcats,16,9,7,0.563,48.9,94.9,35.0,79.8,43.9,5.4,16.8,32.0,19.5,26.2,74.5,12.1,30.9,42.9,20.9,13.2,6.2,4.6,6.0,19.4,21.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,New Orleans Hornets,16,12,4,0.75,48.9,96.7,36.4,78.6,46.3,5.4,14.6,37.2,18.5,23.3,79.4,10.9,32.9,43.8,21.4,13.4,7.0,4.7,3.9,20.1,20.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,Sacramento Kings,16,6,10,0.375,48.9,101.9,40.1,86.9,46.1,4.4,13.6,32.3,17.4,24.1,72.2,12.9,30.6,43.5,21.2,15.1,8.6,4.9,5.1,21.4,21.9,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,Washington Wizards,16,5,11,0.313,48.9,98.9,37.7,83.0,45.4,5.2,14.8,35.2,18.4,23.6,77.8,10.3,31.1,41.4,22.1,14.7,7.1,6.1,4.1,21.1,19.0,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Minnesota Timberwolves,14,3,11,0.214,48.7,103.7,38.4,85.3,45.1,7.4,19.7,37.7,19.4,25.3,76.8,13.2,32.0,45.2,20.8,17.6,8.4,5.1,4.9,22.7,21.1,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Portland Trail Blazers,14,8,6,0.571,48.7,96.9,36.9,84.4,43.7,6.1,18.2,33.7,17.0,21.2,80.1,13.6,28.2,41.8,21.1,13.1,8.5,4.1,4.1,18.9,20.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,Golden State Warriors,15,7,8,0.467,48.7,107.1,40.3,84.3,47.8,8.7,21.8,39.8,17.9,21.9,82.0,9.9,28.8,38.7,22.7,14.4,8.5,5.0,3.9,23.7,20.2,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
