,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,New Orleans Pelicans,12,7,5,0.583,48.8,109.3,40.0,88.4,45.2,11.8,33.8,35.0,17.5,23.0,76.1,12.4,35.4,47.8,25.9,14.3,7.0,4.3,4.6,18.2,20.6,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Toronto Raptors,10,6,4,0.6,48.5,109.4,40.8,91.8,44.4,12.7,37.2,34.1,15.1,20.6,73.3,12.1,33.5,45.6,24.0,11.4,8.3,4.9,4.4,20.2,18.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Brooklyn Nets,12,8,4,0.667,48.4,111.5,42.4,90.9,46.7,9.6,29.9,32.0,17.1,21.0,81.3,10.9,36.8,47.8,25.8,14.6,6.3,6.0,5.0,21.5,19.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Detroit Pistons,12,1,11,0.083,48.4,103.0,37.0,86.8,42.6,11.4,33.3,34.3,17.6,22.3,78.7,9.2,32.9,42.1,21.8,15.8,8.2,4.9,5.3,23.5,20.2,-10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Charlotte Hornets,13,6,7,0.462,48.4,116.5,42.9,90.7,47.3,14.6,39.1,37.4,16.0,20.9,76.5,10.0,32.0,42.0,27.6,12.7,8.6,5.2,4.8,19.2,18.8,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Denver Nuggets,13,7,6,0.538,48.4,109.0,40.5,87.8,46.1,13.5,37.7,35.9,14.5,18.7,77.8,7.2,34.9,42.2,27.9,13.5,7.8,4.3,5.1,19.6,19.8,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,Portland Trail Blazers,13,2,11,0.154,48.4,104.6,36.1,84.5,42.7,12.5,36.7,34.0,20.0,25.6,78.1,9.5,32.5,42.0,20.8,14.8,6.8,4.8,4.4,21.6,21.2,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Los Angeles Lakers,14,6,8,0.429,48.4,110.2,41.0,87.3,47.0,12.4,34.9,35.4,15.9,22.1,71.8,8.8,36.5,45.3,24.5,15.1,7.6,5.6,4.5,20.2,18.5,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Philadelphia 76ers,14,8,6,0.571,48.4,104.1,37.5,83.0,45.2,10.1,30.1,33.5,19.0,23.2,81.8,6.9,33.6,40.5,21.9,11.7,7.7,6.1,4.8,19.6,19.4,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,Phoenix Suns,14,9,5,0.643,48.4,111.0,41.8,90.1,46.4,11.6,32.1,36.2,15.8,19.4,81.5,11.1,35.2,46.3,25.1,14.4,7.9,4.1,5.3,19.7,19.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
