,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Sat, Dec 1, 2018",5:00p,Milwaukee Bucks,134,New York Knicks,136,Box Score,OT,19812,
1,"Sat, Dec 1, 2018",7:00p,Golden State Warriors,102,Detroit Pistons,111,Box Score,,20332,
2,"Sat, Dec 1, 2018",7:00p,Brooklyn Nets,88,Washington Wizards,102,Box Score,,15448,
3,"Sat, Dec 1, 2018",8:00p,Toronto Raptors,106,Cleveland Cavaliers,95,Box Score,,19432,
4,"Sat, Dec 1, 2018",8:00p,Chicago Bulls,105,Houston Rockets,121,Box Score,,18055,
5,"Sat, Dec 1, 2018",8:00p,Boston Celtics,118,Minnesota Timberwolves,109,Box Score,,17663,
6,"Sat, Dec 1, 2018",10:00p,Indiana Pacers,110,Sacramento Kings,111,Box Score,,17583,
7,"Sun, Dec 2, 2018",3:30p,Phoenix Suns,96,Los Angeles Lakers,120,Box Score,,18997,
8,"Sun, Dec 2, 2018",5:00p,New Orleans Pelicans,119,Charlotte Hornets,109,Box Score,,15336,
9,"Sun, Dec 2, 2018",6:00p,Utah Jazz,100,Miami Heat,102,Box Score,,19600,
10,"Sun, Dec 2, 2018",6:00p,Memphis Grizzlies,95,Philadelphia 76ers,103,Box Score,,20334,
11,"Sun, Dec 2, 2018",7:00p,Los Angeles Clippers,110,Dallas Mavericks,114,Box Score,,19551,
12,"Sun, Dec 2, 2018",7:00p,Portland Trail Blazers,118,San Antonio Spurs,131,Box Score,,18354,
13,"Mon, Dec 3, 2018",7:00p,Oklahoma City Thunder,110,Detroit Pistons,83,Box Score,,14372,
14,"Mon, Dec 3, 2018",7:30p,Golden State Warriors,128,Atlanta Hawks,111,Box Score,,16631,
15,"Mon, Dec 3, 2018",7:30p,Cleveland Cavaliers,99,Brooklyn Nets,97,Box Score,,10983,
16,"Mon, Dec 3, 2018",7:30p,Washington Wizards,110,New York Knicks,107,Box Score,,19440,
17,"Mon, Dec 3, 2018",7:30p,Denver Nuggets,106,Toronto Raptors,103,Box Score,,19800,
18,"Mon, Dec 3, 2018",8:00p,Houston Rockets,91,Minnesota Timberwolves,103,Box Score,,13834,
19,"Mon, Dec 3, 2018",8:00p,Los Angeles Clippers,129,New Orleans Pelicans,126,Box Score,,13822,
20,"Tue, Dec 4, 2018",7:00p,Chicago Bulls,90,Indiana Pacers,96,Box Score,,16446,
21,"Tue, Dec 4, 2018",7:30p,Orlando Magic,105,Miami Heat,90,Box Score,,19600,
22,"Tue, Dec 4, 2018",8:30p,Portland Trail Blazers,102,Dallas Mavericks,111,Box Score,,19341,
23,"Tue, Dec 4, 2018",9:00p,Sacramento Kings,122,Phoenix Suns,105,Box Score,,12977,
24,"Tue, Dec 4, 2018",9:00p,San Antonio Spurs,105,Utah Jazz,139,Box Score,,18306,
25,"Wed, Dec 5, 2018",7:00p,Golden State Warriors,129,Cleveland Cavaliers,105,Box Score,,19432,
26,"Wed, Dec 5, 2018",7:00p,Denver Nuggets,124,Orlando Magic,118,Box Score,OT,16636,
27,"Wed, Dec 5, 2018",7:30p,Washington Wizards,131,Atlanta Hawks,117,Box Score,,12551,
28,"Wed, Dec 5, 2018",7:30p,Oklahoma City Thunder,114,Brooklyn Nets,112,Box Score,,13161,
29,"Wed, Dec 5, 2018",8:00p,Los Angeles Clippers,86,Memphis Grizzlies,96,Box Score,,14144,
30,"Wed, Dec 5, 2018",8:00p,Detroit Pistons,92,Milwaukee Bucks,115,Box Score,,16541,
31,"Wed, Dec 5, 2018",8:00p,Charlotte Hornets,104,Minnesota Timberwolves,121,Box Score,,11248,
32,"Wed, Dec 5, 2018",8:00p,Dallas Mavericks,106,New Orleans Pelicans,132,Box Score,,14810,
33,"Wed, Dec 5, 2018",8:00p,Philadelphia 76ers,102,Toronto Raptors,113,Box Score,,19800,
34,"Wed, Dec 5, 2018",10:30p,San Antonio Spurs,113,Los Angeles Lakers,121,Box Score,,18997,
35,"Thu, Dec 6, 2018",8:00p,New York Knicks,100,Boston Celtics,128,Box Score,,18624,
36,"Thu, Dec 6, 2018",10:00p,Phoenix Suns,86,Portland Trail Blazers,108,Box Score,,19001,
37,"Thu, Dec 6, 2018",10:30p,Houston Rockets,91,Utah Jazz,118,Box Score,,18306,
38,"Fri, Dec 7, 2018",7:00p,Denver Nuggets,107,Charlotte Hornets,113,Box Score,,13755,
39,"Fri, Dec 7, 2018",7:00p,Philadelphia 76ers,117,Detroit Pistons,111,Box Score,,15680,
40,"Fri, Dec 7, 2018",7:00p,Indiana Pacers,112,Orlando Magic,90,Box Score,,17214,
41,"Fri, Dec 7, 2018",7:30p,Toronto Raptors,105,Brooklyn Nets,106,Box Score,OT,14035,
42,"Fri, Dec 7, 2018",7:30p,Sacramento Kings,129,Cleveland Cavaliers,110,Box Score,,19432,
43,"Fri, Dec 7, 2018",8:00p,Oklahoma City Thunder,112,Chicago Bulls,114,Box Score,,19842,
44,"Fri, Dec 7, 2018",8:00p,Memphis Grizzlies,107,New Orleans Pelicans,103,Box Score,,18447,
45,"Fri, Dec 7, 2018",8:30p,Los Angeles Lakers,120,San Antonio Spurs,133,Box Score,,18354,
46,"Fri, Dec 7, 2018",9:00p,Miami Heat,115,Phoenix Suns,98,Box Score,,14273,
47,"Fri, Dec 7, 2018",9:30p,Golden State Warriors,105,Milwaukee Bucks,95,Box Score,,17852,
48,"Sat, Dec 8, 2018",6:00p,Houston Rockets,104,Dallas Mavericks,107,Box Score,,20254,
49,"Sat, Dec 8, 2018",7:00p,Sacramento Kings,97,Indiana Pacers,107,Box Score,,16867,
50,"Sat, Dec 8, 2018",7:30p,Denver Nuggets,98,Atlanta Hawks,106,Box Score,,14409,
51,"Sat, Dec 8, 2018",7:30p,Washington Wizards,101,Cleveland Cavaliers,116,Box Score,,19432,
52,"Sat, Dec 8, 2018",7:30p,Brooklyn Nets,112,New York Knicks,104,Box Score,,18662,
53,"Sat, Dec 8, 2018",8:00p,Boston Celtics,133,Chicago Bulls,77,Box Score,,20923,
54,"Sat, Dec 8, 2018",8:00p,Los Angeles Lakers,111,Memphis Grizzlies,88,Box Score,,17794,
55,"Sat, Dec 8, 2018",10:00p,Minnesota Timberwolves,105,Portland Trail Blazers,113,Box Score,,19359,
56,"Sat, Dec 8, 2018",10:30p,Miami Heat,121,Los Angeles Clippers,98,Box Score,,17113,
57,"Sun, Dec 9, 2018",3:30p,New Orleans Pelicans,116,Detroit Pistons,108,Box Score,,14705,
58,"Sun, Dec 9, 2018",6:00p,Milwaukee Bucks,104,Toronto Raptors,99,Box Score,,19800,
59,"Sun, Dec 9, 2018",7:00p,Utah Jazz,97,San Antonio Spurs,110,Box Score,,17834,
60,"Sun, Dec 9, 2018",7:30p,Charlotte Hornets,119,New York Knicks,107,Box Score,,18602,
61,"Mon, Dec 10, 2018",7:00p,Washington Wizards,101,Indiana Pacers,109,Box Score,,14645,
62,"Mon, Dec 10, 2018",7:00p,Detroit Pistons,102,Philadelphia 76ers,116,Box Score,,20199,
63,"Mon, Dec 10, 2018",7:30p,New Orleans Pelicans,100,Boston Celtics,113,Box Score,,18624,
64,"Mon, Dec 10, 2018",8:00p,Sacramento Kings,108,Chicago Bulls,89,Box Score,,18164,
65,"Mon, Dec 10, 2018",8:00p,Cleveland Cavaliers,92,Milwaukee Bucks,108,Box Score,,17155,
66,"Mon, Dec 10, 2018",8:00p,Utah Jazz,113,Oklahoma City Thunder,122,Box Score,,18203,
67,"Mon, Dec 10, 2018",8:30p,Orlando Magic,76,Dallas Mavericks,101,Box Score,,19334,
68,"Mon, Dec 10, 2018",9:00p,Memphis Grizzlies,99,Denver Nuggets,105,Box Score,,15278,
69,"Mon, Dec 10, 2018",9:00p,Los Angeles Clippers,123,Phoenix Suns,119,Box Score,OT,12088,
70,"Mon, Dec 10, 2018",10:30p,Minnesota Timberwolves,108,Golden State Warriors,116,Box Score,,19596,
71,"Mon, Dec 10, 2018",10:30p,Miami Heat,105,Los Angeles Lakers,108,Box Score,,18997,
72,"Tue, Dec 11, 2018",8:00p,Portland Trail Blazers,104,Houston Rockets,111,Box Score,,18055,
73,"Tue, Dec 11, 2018",8:30p,Phoenix Suns,86,San Antonio Spurs,111,Box Score,,17676,
74,"Tue, Dec 11, 2018",10:30p,Toronto Raptors,123,Los Angeles Clippers,99,Box Score,,17812,
75,"Wed, Dec 12, 2018",7:00p,Detroit Pistons,107,Charlotte Hornets,108,Box Score,,13997,
76,"Wed, Dec 12, 2018",7:00p,New York Knicks,106,Cleveland Cavaliers,113,Box Score,,19432,
77,"Wed, Dec 12, 2018",7:00p,Milwaukee Bucks,97,Indiana Pacers,113,Box Score,,17070,
78,"Wed, Dec 12, 2018",7:00p,Brooklyn Nets,127,Philadelphia 76ers,124,Box Score,,20376,
79,"Wed, Dec 12, 2018",7:00p,Boston Celtics,130,Washington Wizards,125,Box Score,OT,20409,
80,"Wed, Dec 12, 2018",8:00p,Portland Trail Blazers,83,Memphis Grizzlies,92,Box Score,,16282,
81,"Wed, Dec 12, 2018",8:00p,Oklahoma City Thunder,114,New Orleans Pelicans,118,Box Score,,14450,
82,"Wed, Dec 12, 2018",8:30p,Atlanta Hawks,107,Dallas Mavericks,114,Box Score,,19643,
83,"Wed, Dec 12, 2018",9:00p,Miami Heat,84,Utah Jazz,111,Box Score,,18306,
84,"Wed, Dec 12, 2018",10:00p,Minnesota Timberwolves,130,Sacramento Kings,141,Box Score,,15770,
85,"Wed, Dec 12, 2018",10:30p,Toronto Raptors,113,Golden State Warriors,93,Box Score,,19596,
86,"Thu, Dec 13, 2018",8:00p,Los Angeles Lakers,111,Houston Rockets,126,Box Score,,18055,
