,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Sat, Dec 1, 2012",7:30p,Portland Trail Blazers,118,Cleveland Cavaliers,117,Box Score,2OT,16624,
1,"Sat, Dec 1, 2012",7:30p,Brooklyn Nets,89,Miami Heat,102,Box Score,,19961,
2,"Sat, Dec 1, 2012",8:00p,Philadelphia 76ers,88,Chicago Bulls,93,Box Score,,21607,
3,"Sat, Dec 1, 2012",8:00p,Utah Jazz,116,Houston Rockets,124,Box Score,,14432,
4,"Sat, Dec 1, 2012",8:00p,Oklahoma City Thunder,100,New Orleans Hornets,79,Box Score,,14547,
5,"Sat, Dec 1, 2012",8:30p,Boston Celtics,88,Milwaukee Bucks,91,Box Score,,16581,
6,"Sat, Dec 1, 2012",8:30p,Memphis Grizzlies,95,San Antonio Spurs,99,Box Score,OT,18581,
7,"Sat, Dec 1, 2012",9:00p,Detroit Pistons,77,Dallas Mavericks,92,Box Score,,20285,
8,"Sat, Dec 1, 2012",10:30p,Indiana Pacers,92,Golden State Warriors,103,Box Score,,18623,
9,"Sat, Dec 1, 2012",10:30p,Sacramento Kings,81,Los Angeles Clippers,116,Box Score,,19060,
10,"Sun, Dec 2, 2012",12:00p,Phoenix Suns,99,New York Knicks,106,Box Score,,19033,
11,"Sun, Dec 2, 2012",9:30p,Orlando Magic,113,Los Angeles Lakers,103,Box Score,,18997,
12,"Mon, Dec 3, 2012",7:00p,Portland Trail Blazers,118,Charlotte Bobcats,112,Box Score,OT,12640,
13,"Mon, Dec 3, 2012",7:30p,Cleveland Cavaliers,79,Detroit Pistons,89,Box Score,,11352,
14,"Mon, Dec 3, 2012",8:00p,Milwaukee Bucks,81,New Orleans Hornets,102,Box Score,,12321,
15,"Mon, Dec 3, 2012",9:00p,Toronto Raptors,110,Denver Nuggets,113,Box Score,,15221,
16,"Mon, Dec 3, 2012",9:00p,Los Angeles Clippers,105,Utah Jazz,104,Box Score,,19067,
17,"Mon, Dec 3, 2012",10:30p,Orlando Magic,102,Golden State Warriors,94,Box Score,,18117,
18,"Tue, Dec 4, 2012",7:00p,Minnesota Timberwolves,105,Philadelphia 76ers,88,Box Score,,13986,
19,"Tue, Dec 4, 2012",7:00p,Miami Heat,101,Washington Wizards,105,Box Score,,17761,
20,"Tue, Dec 4, 2012",7:30p,Oklahoma City Thunder,117,Brooklyn Nets,111,Box Score,,17732,
21,"Tue, Dec 4, 2012",8:00p,Indiana Pacers,80,Chicago Bulls,76,Box Score,,21152,
22,"Tue, Dec 4, 2012",8:00p,Los Angeles Lakers,105,Houston Rockets,107,Box Score,,18052,
23,"Tue, Dec 4, 2012",8:00p,Phoenix Suns,98,Memphis Grizzlies,108,Box Score,OT,14481,
24,"Wed, Dec 5, 2012",7:00p,New York Knicks,100,Charlotte Bobcats,98,Box Score,,18097,
25,"Wed, Dec 5, 2012",7:00p,Portland Trail Blazers,92,Indiana Pacers,99,Box Score,,11569,
26,"Wed, Dec 5, 2012",7:30p,Minnesota Timberwolves,94,Boston Celtics,104,Box Score,,18624,
27,"Wed, Dec 5, 2012",7:30p,Golden State Warriors,104,Detroit Pistons,97,Box Score,,11128,
28,"Wed, Dec 5, 2012",8:00p,Denver Nuggets,104,Atlanta Hawks,108,Box Score,,14101,
29,"Wed, Dec 5, 2012",8:00p,Chicago Bulls,95,Cleveland Cavaliers,85,Box Score,,17893,
30,"Wed, Dec 5, 2012",8:00p,Los Angeles Lakers,103,New Orleans Hornets,87,Box Score,,18449,
31,"Wed, Dec 5, 2012",8:30p,Milwaukee Bucks,99,San Antonio Spurs,110,Box Score,,18349,
32,"Wed, Dec 5, 2012",9:00p,Orlando Magic,81,Utah Jazz,87,Box Score,,18078,
33,"Wed, Dec 5, 2012",10:00p,Toronto Raptors,100,Sacramento Kings,107,Box Score,,12476,
34,"Wed, Dec 5, 2012",10:30p,Dallas Mavericks,90,Los Angeles Clippers,112,Box Score,,19060,
35,"Thu, Dec 6, 2012",8:00p,New York Knicks,112,Miami Heat,92,Box Score,,19740,
36,"Thu, Dec 6, 2012",10:30p,Dallas Mavericks,97,Phoenix Suns,94,Box Score,,17517,
37,"Fri, Dec 7, 2012",7:00p,Denver Nuggets,92,Indiana Pacers,89,Box Score,,15289,
38,"Fri, Dec 7, 2012",7:00p,Boston Celtics,94,Philadelphia 76ers,95,Box Score,OT,17921,
