,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Tue, Jan 1, 2013",6:00p,Dallas Mavericks,103,Washington Wizards,94,Box Score,,14456,
1,"Tue, Jan 1, 2013",7:30p,Sacramento Kings,97,Detroit Pistons,103,Box Score,,12175,
2,"Tue, Jan 1, 2013",7:30p,Portland Trail Blazers,105,New York Knicks,100,Box Score,,19033,
3,"Tue, Jan 1, 2013",8:00p,Atlanta Hawks,95,New Orleans Hornets,86,Box Score,,12712,
4,"Tue, Jan 1, 2013",9:00p,Los Angeles Clippers,78,Denver Nuggets,92,Box Score,,19155,
5,"Tue, Jan 1, 2013",10:30p,Philadelphia 76ers,103,Los Angeles Lakers,99,Box Score,,18997,
6,"Wed, Jan 2, 2013",7:00p,Sacramento Kings,97,Cleveland Cavaliers,94,Box Score,,12331,
7,"Wed, Jan 2, 2013",7:00p,Washington Wizards,81,Indiana Pacers,89,Box Score,,11182,
8,"Wed, Jan 2, 2013",7:00p,Chicago Bulls,96,Orlando Magic,94,Box Score,,18846,
9,"Wed, Jan 2, 2013",7:00p,Portland Trail Blazers,79,Toronto Raptors,102,Box Score,,18117,
10,"Wed, Jan 2, 2013",7:30p,Memphis Grizzlies,93,Boston Celtics,83,Box Score,,18624,
11,"Wed, Jan 2, 2013",7:30p,Dallas Mavericks,109,Miami Heat,119,Box Score,OT,20102,
12,"Wed, Jan 2, 2013",8:00p,New Orleans Hornets,92,Houston Rockets,104,Box Score,,18198,
13,"Wed, Jan 2, 2013",8:00p,San Antonio Spurs,117,Milwaukee Bucks,110,Box Score,,15084,
14,"Wed, Jan 2, 2013",8:00p,Brooklyn Nets,110,Oklahoma City Thunder,93,Box Score,,18203,
15,"Wed, Jan 2, 2013",9:00p,Philadelphia 76ers,89,Phoenix Suns,95,Box Score,,16034,
16,"Wed, Jan 2, 2013",9:00p,Minnesota Timberwolves,84,Utah Jazz,106,Box Score,,19120,
17,"Wed, Jan 2, 2013",10:30p,Los Angeles Clippers,94,Golden State Warriors,115,Box Score,,19596,
18,"Thu, Jan 3, 2013",7:30p,San Antonio Spurs,83,New York Knicks,100,Box Score,,19033,
19,"Thu, Jan 3, 2013",9:00p,Minnesota Timberwolves,101,Denver Nuggets,97,Box Score,,16921,
20,"Fri, Jan 4, 2013",7:00p,Cleveland Cavaliers,106,Charlotte Bobcats,104,Box Score,,15576,
21,"Fri, Jan 4, 2013",7:00p,Sacramento Kings,105,Toronto Raptors,96,Box Score,,17824,
22,"Fri, Jan 4, 2013",7:00p,Brooklyn Nets,115,Washington Wizards,113,Box Score,2OT,16006,
23,"Fri, Jan 4, 2013",7:30p,Atlanta Hawks,84,Detroit Pistons,85,Box Score,,14832,
24,"Fri, Jan 4, 2013",8:00p,Indiana Pacers,75,Boston Celtics,94,Box Score,,18624,
25,"Fri, Jan 4, 2013",8:00p,Portland Trail Blazers,86,Memphis Grizzlies,84,Box Score,,15823,
26,"Fri, Jan 4, 2013",8:00p,Chicago Bulls,96,Miami Heat,89,Box Score,,20138,
27,"Fri, Jan 4, 2013",8:00p,Philadelphia 76ers,85,Oklahoma City Thunder,109,Box Score,,18203,
28,"Fri, Jan 4, 2013",8:30p,Houston Rockets,115,Milwaukee Bucks,101,Box Score,,15867,
29,"Fri, Jan 4, 2013",9:00p,Utah Jazz,87,Phoenix Suns,80,Box Score,,14874,
30,"Fri, Jan 4, 2013",10:30p,Los Angeles Lakers,102,Los Angeles Clippers,107,Box Score,,20179,
31,"Sat, Jan 5, 2013",7:00p,Boston Celtics,89,Atlanta Hawks,81,Box Score,,19159,
32,"Sat, Jan 5, 2013",7:00p,Milwaukee Bucks,80,Indiana Pacers,95,Box Score,,15329,
33,"Sat, Jan 5, 2013",7:00p,New York Knicks,114,Orlando Magic,106,Box Score,,19171,
34,"Sat, Jan 5, 2013",7:30p,Sacramento Kings,93,Brooklyn Nets,113,Box Score,,17732,
35,"Sat, Jan 5, 2013",7:30p,Houston Rockets,112,Cleveland Cavaliers,104,Box Score,,16866,
36,"Sat, Jan 5, 2013",8:00p,Portland Trail Blazers,102,Minnesota Timberwolves,97,Box Score,,16220,
37,"Sat, Jan 5, 2013",8:30p,New Orleans Hornets,99,Dallas Mavericks,96,Box Score,OT,20338,
38,"Sat, Jan 5, 2013",8:30p,Philadelphia 76ers,86,San Antonio Spurs,109,Box Score,,18581,
39,"Sat, Jan 5, 2013",9:00p,Utah Jazz,91,Denver Nuggets,110,Box Score,,19155,
40,"Sat, Jan 5, 2013",10:30p,Golden State Warriors,89,Los Angeles Clippers,115,Box Score,,19323,
41,"Sun, Jan 6, 2013",1:00p,Oklahoma City Thunder,104,Toronto Raptors,92,Box Score,,17634,
42,"Sun, Jan 6, 2013",6:00p,Washington Wizards,71,Miami Heat,99,Box Score,,20228,
43,"Sun, Jan 6, 2013",7:30p,Charlotte Bobcats,108,Detroit Pistons,101,Box Score,OT,11963,
44,"Sun, Jan 6, 2013",8:00p,Memphis Grizzlies,92,Phoenix Suns,81,Box Score,,13197,
45,"Sun, Jan 6, 2013",9:30p,Denver Nuggets,112,Los Angeles Lakers,105,Box Score,,18997,
46,"Mon, Jan 7, 2013",7:00p,Oklahoma City Thunder,99,Washington Wizards,101,Box Score,,16917,
47,"Mon, Jan 7, 2013",7:30p,Boston Celtics,102,New York Knicks,96,Box Score,,19033,
48,"Mon, Jan 7, 2013",8:00p,Cleveland Cavaliers,92,Chicago Bulls,118,Box Score,,21355,
49,"Mon, Jan 7, 2013",8:00p,San Antonio Spurs,88,New Orleans Hornets,95,Box Score,,11599,
50,"Mon, Jan 7, 2013",9:00p,Dallas Mavericks,94,Utah Jazz,100,Box Score,,18600,
51,"Mon, Jan 7, 2013",10:00p,Orlando Magic,119,Portland Trail Blazers,125,Box Score,OT,19560,
52,"Mon, Jan 7, 2013",10:00p,Memphis Grizzlies,113,Sacramento Kings,81,Box Score,,11531,
53,"Tue, Jan 8, 2013",7:00p,Miami Heat,77,Indiana Pacers,87,Box Score,,18165,
54,"Tue, Jan 8, 2013",7:00p,Brooklyn Nets,109,Philadelphia 76ers,89,Box Score,,16167,
55,"Tue, Jan 8, 2013",8:00p,Los Angeles Lakers,112,Houston Rockets,125,Box Score,,18135,
56,"Tue, Jan 8, 2013",8:00p,Phoenix Suns,99,Milwaukee Bucks,108,Box Score,,13014,
57,"Tue, Jan 8, 2013",8:00p,Atlanta Hawks,103,Minnesota Timberwolves,108,Box Score,,15988,
58,"Wed, Jan 9, 2013",7:00p,Utah Jazz,112,Charlotte Bobcats,102,Box Score,,13347,
59,"Wed, Jan 9, 2013",7:00p,Atlanta Hawks,83,Cleveland Cavaliers,99,Box Score,,13149,
60,"Wed, Jan 9, 2013",7:00p,Philadelphia 76ers,72,Toronto Raptors,90,Box Score,,15629,
61,"Wed, Jan 9, 2013",7:30p,Phoenix Suns,79,Boston Celtics,87,Box Score,,18624,
62,"Wed, Jan 9, 2013",8:00p,Milwaukee Bucks,104,Chicago Bulls,96,Box Score,,21570,
63,"Wed, Jan 9, 2013",8:00p,Houston Rockets,79,New Orleans Hornets,88,Box Score,,11453,
64,"Wed, Jan 9, 2013",8:00p,Minnesota Timberwolves,84,Oklahoma City Thunder,106,Box Score,,18203,
65,"Wed, Jan 9, 2013",8:00p,Los Angeles Lakers,105,San Antonio Spurs,108,Box Score,,18581,
66,"Wed, Jan 9, 2013",9:00p,Orlando Magic,105,Denver Nuggets,108,Box Score,,15084,
67,"Wed, Jan 9, 2013",10:30p,Memphis Grizzlies,94,Golden State Warriors,87,Box Score,,19596,
68,"Wed, Jan 9, 2013",10:30p,Dallas Mavericks,93,Los Angeles Clippers,99,Box Score,,19362,
69,"Thu, Jan 10, 2013",8:00p,New York Knicks,76,Indiana Pacers,81,Box Score,,16568,
70,"Thu, Jan 10, 2013",10:00p,Dallas Mavericks,117,Sacramento Kings,112,Box Score,OT,14011,
71,"Thu, Jan 10, 2013",10:30p,Miami Heat,90,Portland Trail Blazers,92,Box Score,,20536,
72,"Fri, Jan 11, 2013",7:00p,Charlotte Bobcats,78,Toronto Raptors,99,Box Score,,14373,
73,"Fri, Jan 11, 2013",7:30p,Utah Jazz,95,Atlanta Hawks,103,Box Score,,12064,
74,"Fri, Jan 11, 2013",7:30p,Houston Rockets,91,Boston Celtics,103,Box Score,,18624,
75,"Fri, Jan 11, 2013",7:30p,Phoenix Suns,79,Brooklyn Nets,99,Box Score,,16272,
76,"Fri, Jan 11, 2013",8:00p,San Antonio Spurs,98,Memphis Grizzlies,101,Box Score,OT,17685,
77,"Fri, Jan 11, 2013",8:00p,Minnesota Timberwolves,92,New Orleans Hornets,104,Box Score,,13538,
78,"Fri, Jan 11, 2013",8:00p,Chicago Bulls,108,New York Knicks,101,Box Score,,19033,
79,"Fri, Jan 11, 2013",8:30p,Detroit Pistons,103,Milwaukee Bucks,87,Box Score,,15681,
80,"Fri, Jan 11, 2013",9:00p,Cleveland Cavaliers,91,Denver Nuggets,98,Box Score,,16445,
81,"Fri, Jan 11, 2013",10:30p,Portland Trail Blazers,97,Golden State Warriors,103,Box Score,,19596,
82,"Fri, Jan 11, 2013",10:30p,Oklahoma City Thunder,116,Los Angeles Lakers,101,Box Score,,18997,
