,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Sun, Dec 1, 2013",1:00p,Denver Nuggets,112,Toronto Raptors,98,Box Score,,16290,
1,"Sun, Dec 1, 2013",3:30p,Philadelphia 76ers,100,Detroit Pistons,115,Box Score,,14107,
2,"Sun, Dec 1, 2013",3:30p,Indiana Pacers,105,Los Angeles Clippers,100,Box Score,,19060,
3,"Sun, Dec 1, 2013",6:00p,Charlotte Bobcats,98,Miami Heat,99,Box Score,,19617,
4,"Sun, Dec 1, 2013",6:00p,Golden State Warriors,115,Sacramento Kings,113,Box Score,,15588,
5,"Sun, Dec 1, 2013",7:00p,Minnesota Timberwolves,103,Oklahoma City Thunder,113,Box Score,,18203,
6,"Sun, Dec 1, 2013",7:30p,New Orleans Pelicans,103,New York Knicks,99,Box Score,,19812,
7,"Sun, Dec 1, 2013",9:30p,Portland Trail Blazers,114,Los Angeles Lakers,108,Box Score,,18997,
8,"Mon, Dec 2, 2013",7:00p,Orlando Magic,80,Washington Wizards,98,Box Score,,12809,
9,"Mon, Dec 2, 2013",8:00p,New Orleans Pelicans,131,Chicago Bulls,128,Box Score,3OT,21615,
10,"Mon, Dec 2, 2013",8:30p,Atlanta Hawks,100,San Antonio Spurs,102,Box Score,,17318,
11,"Mon, Dec 2, 2013",9:00p,Houston Rockets,103,Utah Jazz,109,Box Score,,15801,
12,"Mon, Dec 2, 2013",10:00p,Indiana Pacers,102,Portland Trail Blazers,106,Box Score,,19023,
13,"Tue, Dec 3, 2013",7:00p,Orlando Magic,125,Philadelphia 76ers,126,Box Score,2OT,10061,
14,"Tue, Dec 3, 2013",7:30p,Milwaukee Bucks,100,Boston Celtics,108,Box Score,,16649,
15,"Tue, Dec 3, 2013",7:30p,Denver Nuggets,111,Brooklyn Nets,87,Box Score,,17732,
16,"Tue, Dec 3, 2013",7:30p,Detroit Pistons,107,Miami Heat,97,Box Score,,19741,
17,"Tue, Dec 3, 2013",8:00p,Phoenix Suns,91,Memphis Grizzlies,110,Box Score,,15069,
18,"Tue, Dec 3, 2013",8:30p,Charlotte Bobcats,82,Dallas Mavericks,89,Box Score,,19612,
19,"Tue, Dec 3, 2013",10:00p,Oklahoma City Thunder,97,Sacramento Kings,95,Box Score,,15089,
20,"Tue, Dec 3, 2013",10:30p,Toronto Raptors,103,Golden State Warriors,112,Box Score,,19596,
21,"Wed, Dec 4, 2013",7:00p,Denver Nuggets,88,Cleveland Cavaliers,98,Box Score,,14642,
22,"Wed, Dec 4, 2013",7:30p,Los Angeles Clippers,97,Atlanta Hawks,107,Box Score,,12020,
23,"Wed, Dec 4, 2013",8:00p,Phoenix Suns,97,Houston Rockets,88,Box Score,,18151,
24,"Wed, Dec 4, 2013",8:00p,Detroit Pistons,105,Milwaukee Bucks,98,Box Score,,12835,
25,"Wed, Dec 4, 2013",8:00p,Dallas Mavericks,100,New Orleans Pelicans,97,Box Score,,14524,
26,"Wed, Dec 4, 2013",9:00p,Indiana Pacers,95,Utah Jazz,86,Box Score,,15519,
27,"Wed, Dec 4, 2013",10:00p,Oklahoma City Thunder,104,Portland Trail Blazers,111,Box Score,,18950,
28,"Thu, Dec 5, 2013",7:00p,New York Knicks,113,Brooklyn Nets,83,Box Score,,17732,
29,"Thu, Dec 5, 2013",8:00p,Los Angeles Clippers,101,Memphis Grizzlies,81,Box Score,,15112,
30,"Thu, Dec 5, 2013",9:30p,Miami Heat,87,Chicago Bulls,107,Box Score,,22125,
31,"Fri, Dec 6, 2013",7:00p,Philadelphia 76ers,88,Charlotte Bobcats,105,Box Score,,14088,
32,"Fri, Dec 6, 2013",7:00p,Milwaukee Bucks,109,Washington Wizards,105,Box Score,OT,18194,
33,"Fri, Dec 6, 2013",7:30p,Cleveland Cavaliers,89,Atlanta Hawks,108,Box Score,,13282,
34,"Fri, Dec 6, 2013",7:30p,Denver Nuggets,98,Boston Celtics,106,Box Score,,17263,
35,"Fri, Dec 6, 2013",7:30p,Orlando Magic,83,New York Knicks,121,Box Score,,19812,
