,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Wed, Jan 1, 2014",6:00p,Dallas Mavericks,87,Washington Wizards,78,Box Score,,15713,
1,"Wed, Jan 1, 2014",7:00p,Indiana Pacers,82,Toronto Raptors,95,Box Score,,18271,
2,"Wed, Jan 1, 2014",8:00p,New Orleans Pelicans,112,Minnesota Timberwolves,124,Box Score,,14002,
3,"Wed, Jan 1, 2014",9:00p,Philadelphia 76ers,114,Denver Nuggets,102,Box Score,,16006,
4,"Wed, Jan 1, 2014",9:30p,Charlotte Bobcats,85,Los Angeles Clippers,112,Box Score,,19160,
5,"Thu, Jan 2, 2014",7:00p,Orlando Magic,81,Cleveland Cavaliers,87,Box Score,OT,14248,
6,"Thu, Jan 2, 2014",7:30p,Golden State Warriors,123,Miami Heat,114,Box Score,,20350,
7,"Thu, Jan 2, 2014",8:00p,Boston Celtics,82,Chicago Bulls,94,Box Score,,21721,
8,"Thu, Jan 2, 2014",8:00p,Brooklyn Nets,95,Oklahoma City Thunder,93,Box Score,,18203,
9,"Thu, Jan 2, 2014",8:30p,New York Knicks,105,San Antonio Spurs,101,Box Score,,18581,
10,"Thu, Jan 2, 2014",9:00p,Memphis Grizzlies,99,Phoenix Suns,91,Box Score,,14844,
11,"Thu, Jan 2, 2014",9:00p,Milwaukee Bucks,87,Utah Jazz,96,Box Score,,16012,
12,"Thu, Jan 2, 2014",10:00p,Charlotte Bobcats,104,Portland Trail Blazers,134,Box Score,,20014,
13,"Thu, Jan 2, 2014",10:00p,Philadelphia 76ers,113,Sacramento Kings,104,Box Score,,16259,
14,"Fri, Jan 3, 2014",7:00p,Toronto Raptors,101,Washington Wizards,88,Box Score,,14940,
15,"Fri, Jan 3, 2014",7:30p,Golden State Warriors,101,Atlanta Hawks,100,Box Score,,15210,
16,"Fri, Jan 3, 2014",7:30p,New Orleans Pelicans,95,Boston Celtics,92,Box Score,,18624,
17,"Fri, Jan 3, 2014",8:00p,New York Knicks,100,Houston Rockets,102,Box Score,,18304,
18,"Fri, Jan 3, 2014",8:30p,Los Angeles Clippers,119,Dallas Mavericks,112,Box Score,,20187,
19,"Fri, Jan 3, 2014",9:00p,Memphis Grizzlies,108,Denver Nuggets,111,Box Score,,17608,
20,"Fri, Jan 3, 2014",10:30p,Utah Jazz,99,Los Angeles Lakers,110,Box Score,,18997,
21,"Sat, Jan 4, 2014",7:00p,New Orleans Pelicans,82,Indiana Pacers,99,Box Score,,18165,
22,"Sat, Jan 4, 2014",7:00p,Miami Heat,110,Orlando Magic,94,Box Score,,18846,
23,"Sat, Jan 4, 2014",7:30p,Cleveland Cavaliers,82,Brooklyn Nets,89,Box Score,,17732,
24,"Sat, Jan 4, 2014",8:00p,Atlanta Hawks,84,Chicago Bulls,91,Box Score,,21539,
25,"Sat, Jan 4, 2014",8:00p,Oklahoma City Thunder,115,Minnesota Timberwolves,111,Box Score,,18065,
26,"Sat, Jan 4, 2014",8:30p,Los Angeles Clippers,92,San Antonio Spurs,116,Box Score,,18581,
27,"Sat, Jan 4, 2014",9:00p,Milwaukee Bucks,100,Phoenix Suns,116,Box Score,,14344,
28,"Sat, Jan 4, 2014",10:00p,Philadelphia 76ers,101,Portland Trail Blazers,99,Box Score,,20004,
29,"Sat, Jan 4, 2014",10:00p,Charlotte Bobcats,113,Sacramento Kings,103,Box Score,,16410,
30,"Sun, Jan 5, 2014",1:00p,Memphis Grizzlies,112,Detroit Pistons,84,Box Score,,14134,
31,"Sun, Jan 5, 2014",6:00p,Indiana Pacers,82,Cleveland Cavaliers,78,Box Score,,17502,
32,"Sun, Jan 5, 2014",6:00p,Toronto Raptors,97,Miami Heat,102,Box Score,,20020,
33,"Sun, Jan 5, 2014",6:00p,Golden State Warriors,112,Washington Wizards,96,Box Score,,17390,
34,"Sun, Jan 5, 2014",7:00p,Boston Celtics,96,Oklahoma City Thunder,119,Box Score,,18203,
35,"Sun, Jan 5, 2014",7:30p,New York Knicks,92,Dallas Mavericks,80,Box Score,,19892,
36,"Sun, Jan 5, 2014",9:30p,Denver Nuggets,137,Los Angeles Lakers,115,Box Score,,18997,
37,"Mon, Jan 6, 2014",7:00p,Minnesota Timberwolves,126,Philadelphia 76ers,95,Box Score,,10736,
38,"Mon, Jan 6, 2014",7:30p,Atlanta Hawks,86,Brooklyn Nets,91,Box Score,,15326,
39,"Mon, Jan 6, 2014",10:30p,Orlando Magic,81,Los Angeles Clippers,101,Box Score,,19060,
40,"Tue, Jan 7, 2014",7:00p,Washington Wizards,97,Charlotte Bobcats,83,Box Score,,12079,
41,"Tue, Jan 7, 2014",7:00p,Philadelphia 76ers,93,Cleveland Cavaliers,111,Box Score,,13344,
42,"Tue, Jan 7, 2014",7:00p,Toronto Raptors,79,Indiana Pacers,86,Box Score,,16147,
43,"Tue, Jan 7, 2014",7:30p,New Orleans Pelicans,88,Miami Heat,107,Box Score,,20097,
44,"Tue, Jan 7, 2014",7:30p,Detroit Pistons,85,New York Knicks,89,Box Score,,19812,
45,"Tue, Jan 7, 2014",8:00p,Phoenix Suns,87,Chicago Bulls,92,Box Score,,21181,
46,"Tue, Jan 7, 2014",8:00p,San Antonio Spurs,110,Memphis Grizzlies,108,Box Score,OT,15916,
47,"Tue, Jan 7, 2014",8:00p,Golden State Warriors,101,Milwaukee Bucks,80,Box Score,,11739,
48,"Tue, Jan 7, 2014",8:30p,Los Angeles Lakers,97,Dallas Mavericks,110,Box Score,,19656,
