,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Sun, Feb 1, 2015",1:00p,Miami Heat,83,Boston Celtics,75,Box Score,,17366,
1,"Sun, Feb 1, 2015",2:00p,Los Angeles Lakers,80,New York Knicks,92,Box Score,,19812,
2,"Mon, Feb 2, 2015",7:00p,Philadelphia 76ers,84,Cleveland Cavaliers,97,Box Score,,20562,
3,"Mon, Feb 2, 2015",7:00p,Charlotte Hornets,92,Washington Wizards,88,Box Score,,15816,
4,"Mon, Feb 2, 2015",7:30p,Los Angeles Clippers,100,Brooklyn Nets,102,Box Score,,16037,
5,"Mon, Feb 2, 2015",7:30p,Milwaukee Bucks,82,Toronto Raptors,75,Box Score,,19800,
6,"Mon, Feb 2, 2015",8:00p,Atlanta Hawks,100,New Orleans Pelicans,115,Box Score,,15487,
7,"Mon, Feb 2, 2015",8:00p,Orlando Magic,97,Oklahoma City Thunder,104,Box Score,,18203,
8,"Mon, Feb 2, 2015",8:30p,Minnesota Timberwolves,94,Dallas Mavericks,100,Box Score,,19989,
9,"Mon, Feb 2, 2015",9:00p,Memphis Grizzlies,102,Phoenix Suns,101,Box Score,,17199,
10,"Tue, Feb 3, 2015",7:00p,Denver Nuggets,98,Philadelphia 76ers,105,Box Score,,10290,
11,"Tue, Feb 3, 2015",7:30p,Miami Heat,91,Detroit Pistons,108,Box Score,,12768,
12,"Tue, Feb 3, 2015",7:30p,Boston Celtics,108,New York Knicks,97,Box Score,,19812,
13,"Tue, Feb 3, 2015",10:00p,Utah Jazz,102,Portland Trail Blazers,103,Box Score,,19441,
14,"Tue, Feb 3, 2015",10:00p,Golden State Warriors,121,Sacramento Kings,96,Box Score,,17317,
15,"Wed, Feb 4, 2015",7:00p,Detroit Pistons,109,Indiana Pacers,114,Box Score,,15892,
16,"Wed, Feb 4, 2015",7:30p,Washington Wizards,96,Atlanta Hawks,105,Box Score,,18047,
17,"Wed, Feb 4, 2015",7:30p,Denver Nuggets,100,Boston Celtics,104,Box Score,,15126,
