,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Wed, Dec 1, 2010",7:00p,Memphis Grizzlies,109,Atlanta Hawks,112,Box Score,,11513,
1,"Wed, Dec 1, 2010",7:00p,Oklahoma City Thunder,123,New Jersey Nets,120,Box Score,3OT,13108,
2,"Wed, Dec 1, 2010",7:00p,Washington Wizards,108,Toronto Raptors,127,Box Score,,15209,
3,"Wed, Dec 1, 2010",7:30p,Portland Trail Blazers,95,Boston Celtics,99,Box Score,,18624,
4,"Wed, Dec 1, 2010",7:30p,Detroit Pistons,72,Miami Heat,97,Box Score,,19600,
5,"Wed, Dec 1, 2010",8:00p,Orlando Magic,107,Chicago Bulls,78,Box Score,,21435,
6,"Wed, Dec 1, 2010",8:00p,Charlotte Bobcats,73,New Orleans Hornets,89,Box Score,,10866,
7,"Wed, Dec 1, 2010",8:30p,Minnesota Timberwolves,86,Dallas Mavericks,100,Box Score,,19567,
8,"Wed, Dec 1, 2010",8:30p,Los Angeles Lakers,99,Houston Rockets,109,Box Score,,18116,
9,"Wed, Dec 1, 2010",9:00p,Milwaukee Bucks,94,Denver Nuggets,105,Box Score,,14221,
10,"Wed, Dec 1, 2010",9:00p,Indiana Pacers,88,Utah Jazz,110,Box Score,,18732,
11,"Wed, Dec 1, 2010",10:30p,San Antonio Spurs,85,Los Angeles Clippers,90,Box Score,,16584,
12,"Thu, Dec 2, 2010",8:00p,Miami Heat,118,Cleveland Cavaliers,90,Box Score,,20562,
13,"Thu, Dec 2, 2010",10:30p,Phoenix Suns,107,Golden State Warriors,101,Box Score,,18328,
14,"Fri, Dec 3, 2010",7:00p,New Jersey Nets,84,Charlotte Bobcats,91,Box Score,OT,12183,
15,"Fri, Dec 3, 2010",7:00p,Oklahoma City Thunder,99,Toronto Raptors,111,Box Score,,16774,
16,"Fri, Dec 3, 2010",7:00p,Portland Trail Blazers,79,Washington Wizards,83,Box Score,,13408,
17,"Fri, Dec 3, 2010",7:30p,Philadelphia 76ers,88,Atlanta Hawks,93,Box Score,,12140,
18,"Fri, Dec 3, 2010",7:30p,Orlando Magic,104,Detroit Pistons,91,Box Score,,18433,
19,"Fri, Dec 3, 2010",8:00p,Chicago Bulls,92,Boston Celtics,104,Box Score,,18624,
20,"Fri, Dec 3, 2010",8:00p,Houston Rockets,127,Memphis Grizzlies,111,Box Score,,14577,
21,"Fri, Dec 3, 2010",8:00p,New York Knicks,100,New Orleans Hornets,92,Box Score,,14020,
22,"Fri, Dec 3, 2010",8:30p,Minnesota Timberwolves,101,San Antonio Spurs,107,Box Score,,18581,
23,"Fri, Dec 3, 2010",9:00p,Los Angeles Clippers,104,Denver Nuggets,109,Box Score,,15829,
24,"Fri, Dec 3, 2010",9:00p,Indiana Pacers,97,Phoenix Suns,105,Box Score,,16991,
25,"Fri, Dec 3, 2010",10:30p,Sacramento Kings,80,Los Angeles Lakers,113,Box Score,,18997,
26,"Fri, Dec 3, 2010",10:30p,Dallas Mavericks,93,Utah Jazz,81,Box Score,,19623,
27,"Sat, Dec 4, 2010",7:30p,Atlanta Hawks,77,Miami Heat,89,Box Score,,19600,
28,"Sat, Dec 4, 2010",7:30p,Charlotte Bobcats,91,Philadelphia 76ers,109,Box Score,,14611,
29,"Sat, Dec 4, 2010",8:00p,Houston Rockets,116,Chicago Bulls,119,Box Score,OT,21232,
30,"Sat, Dec 4, 2010",8:00p,Cleveland Cavaliers,95,Minnesota Timberwolves,129,Box Score,,14422,
31,"Sat, Dec 4, 2010",8:30p,Orlando Magic,85,Milwaukee Bucks,96,Box Score,,16218,
32,"Sat, Dec 4, 2010",10:00p,Dallas Mavericks,105,Sacramento Kings,103,Box Score,,12900,
33,"Sun, Dec 5, 2010",1:00p,Boston Celtics,100,New Jersey Nets,75,Box Score,,16196,
34,"Sun, Dec 5, 2010",1:00p,New York Knicks,116,Toronto Raptors,99,Box Score,,16891,
35,"Sun, Dec 5, 2010",6:00p,Cleveland Cavaliers,92,Detroit Pistons,102,Box Score,,13081,
36,"Sun, Dec 5, 2010",7:00p,Golden State Warriors,109,Oklahoma City Thunder,114,Box Score,,18203,
37,"Sun, Dec 5, 2010",7:00p,New Orleans Hornets,84,San Antonio Spurs,109,Box Score,,17571,
38,"Sun, Dec 5, 2010",8:00p,Memphis Grizzlies,107,Denver Nuggets,108,Box Score,,15017,
39,"Sun, Dec 5, 2010",8:00p,Washington Wizards,108,Phoenix Suns,125,Box Score,,17430,
40,"Sun, Dec 5, 2010",9:00p,Los Angeles Clippers,91,Portland Trail Blazers,100,Box Score,,20139,
41,"Mon, Dec 6, 2010",7:00p,Toronto Raptors,100,Indiana Pacers,124,Box Score,,11930,
42,"Mon, Dec 6, 2010",7:00p,Atlanta Hawks,80,Orlando Magic,74,Box Score,,18846,
43,"Mon, Dec 6, 2010",7:30p,Minnesota Timberwolves,114,New York Knicks,121,Box Score,,19763,
44,"Mon, Dec 6, 2010",8:00p,Oklahoma City Thunder,90,Chicago Bulls,99,Box Score,,21184,
45,"Mon, Dec 6, 2010",8:00p,Miami Heat,88,Milwaukee Bucks,78,Box Score,,17167,
46,"Mon, Dec 6, 2010",9:00p,Memphis Grizzlies,85,Utah Jazz,94,Box Score,,19131,
47,"Mon, Dec 6, 2010",10:30p,Sacramento Kings,91,Los Angeles Clippers,98,Box Score,,14964,
48,"Tue, Dec 7, 2010",7:00p,New Jersey Nets,101,Atlanta Hawks,116,Box Score,,14273,
49,"Tue, Dec 7, 2010",7:00p,Denver Nuggets,98,Charlotte Bobcats,100,Box Score,,15737,
50,"Tue, Dec 7, 2010",7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,117,Box Score,,10662,
51,"Tue, Dec 7, 2010",8:30p,Golden State Warriors,100,Dallas Mavericks,105,Box Score,,19593,
