,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Mon, Dec 1, 2014",7:00p,San Antonio Spurs,109,Philadelphia 76ers,103,Box Score,,12843,
1,"Mon, Dec 1, 2014",7:00p,Miami Heat,86,Washington Wizards,107,Box Score,,15150,
2,"Mon, Dec 1, 2014",9:00p,Denver Nuggets,103,Utah Jazz,101,Box Score,,16768,
3,"Mon, Dec 1, 2014",10:30p,Minnesota Timberwolves,101,Los Angeles Clippers,127,Box Score,,19060,
4,"Tue, Dec 2, 2014",7:00p,Milwaukee Bucks,108,Cleveland Cavaliers,111,Box Score,,20562,
5,"Tue, Dec 2, 2014",7:30p,Boston Celtics,105,Atlanta Hawks,109,Box Score,,12705,
6,"Tue, Dec 2, 2014",7:30p,Los Angeles Lakers,106,Detroit Pistons,96,Box Score,,14083,
7,"Tue, Dec 2, 2014",7:30p,Brooklyn Nets,98,New York Knicks,93,Box Score,,19812,
8,"Tue, Dec 2, 2014",8:00p,Dallas Mavericks,132,Chicago Bulls,129,Box Score,2OT,22042,
9,"Tue, Dec 2, 2014",8:00p,Oklahoma City Thunder,104,New Orleans Pelicans,112,Box Score,,13903,
10,"Tue, Dec 2, 2014",9:00p,Portland Trail Blazers,105,Denver Nuggets,103,Box Score,,12822,
11,"Tue, Dec 2, 2014",9:00p,Indiana Pacers,99,Phoenix Suns,116,Box Score,,15059,
12,"Tue, Dec 2, 2014",10:00p,Toronto Raptors,117,Sacramento Kings,109,Box Score,,15522,
13,"Tue, Dec 2, 2014",10:30p,Orlando Magic,97,Golden State Warriors,98,Box Score,,19596,
14,"Wed, Dec 3, 2014",7:00p,Chicago Bulls,102,Charlotte Hornets,95,Box Score,,16887,
15,"Wed, Dec 3, 2014",7:00p,Los Angeles Lakers,95,Washington Wizards,111,Box Score,,18490,
16,"Wed, Dec 3, 2014",7:30p,Detroit Pistons,102,Boston Celtics,109,Box Score,OT,15870,
17,"Wed, Dec 3, 2014",7:30p,San Antonio Spurs,93,Brooklyn Nets,95,Box Score,OT,15989,
18,"Wed, Dec 3, 2014",7:30p,Atlanta Hawks,112,Miami Heat,102,Box Score,,19600,
19,"Wed, Dec 3, 2014",8:00p,Memphis Grizzlies,96,Houston Rockets,105,Box Score,,18151,
