,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Sat, Mar 1, 2014",7:30p,Orlando Magic,98,Miami Heat,112,Box Score,,19834,
1,"Sat, Mar 1, 2014",7:30p,Washington Wizards,122,Philadelphia 76ers,103,Box Score,,20856,
2,"Sat, Mar 1, 2014",8:00p,Indiana Pacers,102,Boston Celtics,97,Box Score,,18624,
3,"Sat, Mar 1, 2014",8:00p,Detroit Pistons,110,Houston Rockets,118,Box Score,,18330,
4,"Sat, Mar 1, 2014",8:30p,Brooklyn Nets,107,Milwaukee Bucks,98,Box Score,,14081,
5,"Sat, Mar 1, 2014",9:00p,Cleveland Cavaliers,96,Memphis Grizzlies,110,Box Score,,17011,
6,"Sat, Mar 1, 2014",10:00p,Denver Nuggets,96,Portland Trail Blazers,102,Box Score,,20068,
7,"Sat, Mar 1, 2014",10:00p,Minnesota Timberwolves,108,Sacramento Kings,97,Box Score,,17085,
8,"Sat, Mar 1, 2014",10:30p,New Orleans Pelicans,76,Los Angeles Clippers,108,Box Score,,19060,
9,"Sun, Mar 2, 2014",1:00p,New York Knicks,90,Chicago Bulls,109,Box Score,,21739,
10,"Sun, Mar 2, 2014",4:00p,Golden State Warriors,98,Toronto Raptors,104,Box Score,,18658,
11,"Sun, Mar 2, 2014",6:00p,Utah Jazz,91,Indiana Pacers,94,Box Score,,18165,
12,"Sun, Mar 2, 2014",6:00p,Philadelphia 76ers,81,Orlando Magic,92,Box Score,,16704,
13,"Sun, Mar 2, 2014",7:00p,Charlotte Bobcats,99,Oklahoma City Thunder,116,Box Score,,18203,
14,"Sun, Mar 2, 2014",7:00p,Dallas Mavericks,106,San Antonio Spurs,112,Box Score,,18581,
15,"Sun, Mar 2, 2014",8:00p,Atlanta Hawks,120,Phoenix Suns,129,Box Score,,16759,
16,"Mon, Mar 3, 2014",7:00p,Memphis Grizzlies,110,Washington Wizards,104,Box Score,,14065,
17,"Mon, Mar 3, 2014",7:30p,Chicago Bulls,80,Brooklyn Nets,96,Box Score,,17732,
18,"Mon, Mar 3, 2014",7:30p,New York Knicks,85,Detroit Pistons,96,Box Score,,14742,
19,"Mon, Mar 3, 2014",7:30p,Charlotte Bobcats,107,Miami Heat,124,Box Score,,19727,
20,"Mon, Mar 3, 2014",8:00p,Utah Jazz,88,Milwaukee Bucks,114,Box Score,,10022,
21,"Mon, Mar 3, 2014",9:00p,Minnesota Timberwolves,132,Denver Nuggets,128,Box Score,,15240,
22,"Mon, Mar 3, 2014",10:00p,Los Angeles Lakers,107,Portland Trail Blazers,106,Box Score,,20013,
23,"Mon, Mar 3, 2014",10:00p,New Orleans Pelicans,89,Sacramento Kings,96,Box Score,,16225,
24,"Tue, Mar 4, 2014",7:00p,San Antonio Spurs,122,Cleveland Cavaliers,101,Box Score,,17966,
25,"Tue, Mar 4, 2014",7:00p,Golden State Warriors,98,Indiana Pacers,96,Box Score,,18165,
26,"Tue, Mar 4, 2014",8:00p,Miami Heat,103,Houston Rockets,106,Box Score,,18523,
27,"Tue, Mar 4, 2014",8:00p,Philadelphia 76ers,92,Oklahoma City Thunder,125,Box Score,,18203,
28,"Tue, Mar 4, 2014",9:00p,Los Angeles Clippers,104,Phoenix Suns,96,Box Score,,15068,
29,"Tue, Mar 4, 2014",10:30p,New Orleans Pelicans,132,Los Angeles Lakers,125,Box Score,,18436,
30,"Wed, Mar 5, 2014",7:00p,Indiana Pacers,87,Charlotte Bobcats,109,Box Score,,15372,
31,"Wed, Mar 5, 2014",7:00p,Houston Rockets,101,Orlando Magic,89,Box Score,,16012,
32,"Wed, Mar 5, 2014",7:00p,Utah Jazz,91,Washington Wizards,104,Box Score,,13911,
33,"Wed, Mar 5, 2014",7:30p,Golden State Warriors,108,Boston Celtics,88,Box Score,,18155,
34,"Wed, Mar 5, 2014",7:30p,Memphis Grizzlies,94,Brooklyn Nets,103,Box Score,,17053,
35,"Wed, Mar 5, 2014",7:30p,Chicago Bulls,105,Detroit Pistons,94,Box Score,,14007,
36,"Wed, Mar 5, 2014",8:00p,Dallas Mavericks,110,Denver Nuggets,115,Box Score,,14541,
37,"Wed, Mar 5, 2014",8:00p,Sacramento Kings,116,Milwaukee Bucks,102,Box Score,,11079,
38,"Wed, Mar 5, 2014",8:00p,New York Knicks,118,Minnesota Timberwolves,106,Box Score,,14294,
39,"Wed, Mar 5, 2014",10:30p,Atlanta Hawks,78,Portland Trail Blazers,102,Box Score,,20043,
40,"Thu, Mar 6, 2014",8:00p,Miami Heat,87,San Antonio Spurs,111,Box Score,,18581,
41,"Thu, Mar 6, 2014",9:00p,Oklahoma City Thunder,122,Phoenix Suns,128,Box Score,,17816,
42,"Thu, Mar 6, 2014",10:30p,Los Angeles Clippers,142,Los Angeles Lakers,94,Box Score,,18488,
43,"Fri, Mar 7, 2014",7:00p,Cleveland Cavaliers,92,Charlotte Bobcats,101,Box Score,,15688,
44,"Fri, Mar 7, 2014",7:00p,Memphis Grizzlies,85,Chicago Bulls,77,Box Score,,21318,
45,"Fri, Mar 7, 2014",7:00p,Sacramento Kings,87,Toronto Raptors,99,Box Score,,18188,
46,"Fri, Mar 7, 2014",7:30p,Brooklyn Nets,84,Boston Celtics,91,Box Score,,18195,
47,"Fri, Mar 7, 2014",7:30p,Utah Jazz,81,New York Knicks,108,Box Score,,19812,
48,"Fri, Mar 7, 2014",8:00p,Detroit Pistons,101,Minnesota Timberwolves,114,Box Score,,16242,
49,"Fri, Mar 7, 2014",8:00p,Milwaukee Bucks,104,New Orleans Pelicans,112,Box Score,,16061,
50,"Fri, Mar 7, 2014",8:30p,Portland Trail Blazers,98,Dallas Mavericks,103,Box Score,,20251,
51,"Fri, Mar 7, 2014",9:00p,Los Angeles Lakers,126,Denver Nuggets,134,Box Score,,18248,
52,"Fri, Mar 7, 2014",9:30p,Indiana Pacers,86,Houston Rockets,112,Box Score,,18332,
53,"Fri, Mar 7, 2014",10:30p,Atlanta Hawks,97,Golden State Warriors,111,Box Score,,19596,
54,"Sat, Mar 8, 2014",7:30p,New York Knicks,107,Cleveland Cavaliers,97,Box Score,,20562,
55,"Sat, Mar 8, 2014",7:30p,Utah Jazz,104,Philadelphia 76ers,92,Box Score,,13569,
56,"Sat, Mar 8, 2014",8:00p,Charlotte Bobcats,89,Memphis Grizzlies,111,Box Score,,17298,
57,"Sat, Mar 8, 2014",8:30p,Orlando Magic,112,San Antonio Spurs,121,Box Score,,18581,
58,"Sat, Mar 8, 2014",9:00p,Washington Wizards,114,Milwaukee Bucks,107,Box Score,,14839,
59,"Sat, Mar 8, 2014",10:30p,Atlanta Hawks,108,Los Angeles Clippers,109,Box Score,,19178,
60,"Sun, Mar 9, 2014",1:00p,Miami Heat,88,Chicago Bulls,95,Box Score,OT,22028,
61,"Sun, Mar 9, 2014",3:30p,Oklahoma City Thunder,110,Los Angeles Lakers,114,Box Score,,18997,
62,"Sun, Mar 9, 2014",6:00p,Detroit Pistons,111,Boston Celtics,118,Box Score,,18624,
63,"Sun, Mar 9, 2014",6:00p,Sacramento Kings,89,Brooklyn Nets,104,Box Score,,17732,
64,"Sun, Mar 9, 2014",6:00p,Denver Nuggets,107,New Orleans Pelicans,111,Box Score,OT,17115,
65,"Sun, Mar 9, 2014",7:00p,Portland Trail Blazers,113,Houston Rockets,118,Box Score,OT,18321,
66,"Sun, Mar 9, 2014",7:00p,Toronto Raptors,111,Minnesota Timberwolves,104,Box Score,,13116,
67,"Sun, Mar 9, 2014",7:30p,Indiana Pacers,94,Dallas Mavericks,105,Box Score,,20361,
68,"Sun, Mar 9, 2014",9:00p,Phoenix Suns,107,Golden State Warriors,113,Box Score,,19596,
69,"Mon, Mar 10, 2014",7:00p,Denver Nuggets,98,Charlotte Bobcats,105,Box Score,,14312,
70,"Mon, Mar 10, 2014",7:30p,Toronto Raptors,97,Brooklyn Nets,101,Box Score,,17351,
71,"Mon, Mar 10, 2014",7:30p,Washington Wizards,90,Miami Heat,99,Box Score,,19657,
72,"Mon, Mar 10, 2014",7:30p,Philadelphia 76ers,110,New York Knicks,123,Box Score,,19812,
73,"Mon, Mar 10, 2014",8:00p,Orlando Magic,98,Milwaukee Bucks,105,Box Score,,10114,
74,"Mon, Mar 10, 2014",9:00p,Atlanta Hawks,112,Utah Jazz,110,Box Score,,17774,
75,"Mon, Mar 10, 2014",10:30p,Phoenix Suns,105,Los Angeles Clippers,112,Box Score,,19226,
76,"Tue, Mar 11, 2014",7:00p,Boston Celtics,83,Indiana Pacers,94,Box Score,,18165,
77,"Tue, Mar 11, 2014",7:30p,Sacramento Kings,89,Detroit Pistons,99,Box Score,,15234,
78,"Tue, Mar 11, 2014",8:00p,San Antonio Spurs,104,Chicago Bulls,96,Box Score,,21634,
79,"Tue, Mar 11, 2014",8:00p,Portland Trail Blazers,99,Memphis Grizzlies,109,Box Score,,17391,
80,"Tue, Mar 11, 2014",8:00p,Milwaukee Bucks,101,Minnesota Timberwolves,112,Box Score,,12473,
81,"Tue, Mar 11, 2014",8:00p,Houston Rockets,98,Oklahoma City Thunder,106,Box Score,,18203,
82,"Tue, Mar 11, 2014",10:30p,Dallas Mavericks,85,Golden State Warriors,108,Box Score,,19596,
83,"Wed, Mar 12, 2014",7:00p,Brooklyn Nets,96,Miami Heat,95,Box Score,,19616,
84,"Wed, Mar 12, 2014",7:00p,Denver Nuggets,120,Orlando Magic,112,Box Score,,16097,
85,"Wed, Mar 12, 2014",7:00p,Sacramento Kings,115,Philadelphia 76ers,98,Box Score,,11109,
86,"Wed, Mar 12, 2014",7:00p,Detroit Pistons,87,Toronto Raptors,101,Box Score,,18247,
87,"Wed, Mar 12, 2014",7:00p,Charlotte Bobcats,98,Washington Wizards,85,Box Score,,17220,
88,"Wed, Mar 12, 2014",7:30p,New York Knicks,116,Boston Celtics,92,Box Score,,18624,
89,"Wed, Mar 12, 2014",8:00p,Memphis Grizzlies,90,New Orleans Pelicans,88,Box Score,,16513,
90,"Wed, Mar 12, 2014",9:00p,Dallas Mavericks,108,Utah Jazz,101,Box Score,,17982,
91,"Wed, Mar 12, 2014",9:30p,Portland Trail Blazers,90,San Antonio Spurs,103,Box Score,,18581,
92,"Wed, Mar 12, 2014",10:00p,Cleveland Cavaliers,110,Phoenix Suns,101,Box Score,,17902,
93,"Wed, Mar 12, 2014",10:30p,Golden State Warriors,98,Los Angeles Clippers,111,Box Score,,19570,
94,"Thu, Mar 13, 2014",7:00p,Houston Rockets,87,Chicago Bulls,111,Box Score,,21747,
95,"Thu, Mar 13, 2014",7:30p,Milwaukee Bucks,97,Atlanta Hawks,102,Box Score,,12554,
96,"Thu, Mar 13, 2014",9:30p,Los Angeles Lakers,102,Oklahoma City Thunder,131,Box Score,,18203,
97,"Fri, Mar 14, 2014",7:00p,Minnesota Timberwolves,93,Charlotte Bobcats,105,Box Score,,16983,
98,"Fri, Mar 14, 2014",7:00p,Washington Wizards,105,Orlando Magic,101,Box Score,OT,16011,
99,"Fri, Mar 14, 2014",7:00p,Indiana Pacers,101,Philadelphia 76ers,94,Box Score,,14754,
100,"Fri, Mar 14, 2014",7:00p,Memphis Grizzlies,86,Toronto Raptors,99,Box Score,,18465,
101,"Fri, Mar 14, 2014",7:30p,Phoenix Suns,87,Boston Celtics,80,Box Score,,18624,
102,"Fri, Mar 14, 2014",7:30p,Denver Nuggets,111,Miami Heat,107,Box Score,,19600,
103,"Fri, Mar 14, 2014",8:00p,Portland Trail Blazers,111,New Orleans Pelicans,103,Box Score,,16913,
104,"Fri, Mar 14, 2014",8:30p,Los Angeles Lakers,85,San Antonio Spurs,119,Box Score,,18581,
105,"Fri, Mar 14, 2014",9:00p,Los Angeles Clippers,96,Utah Jazz,87,Box Score,,19381,
106,"Fri, Mar 14, 2014",10:30p,Cleveland Cavaliers,103,Golden State Warriors,94,Box Score,,19596,
107,"Sat, Mar 15, 2014",12:00p,Milwaukee Bucks,94,New York Knicks,115,Box Score,,19812,
108,"Sat, Mar 15, 2014",7:00p,Brooklyn Nets,94,Washington Wizards,101,Box Score,,20356,
109,"Sat, Mar 15, 2014",7:30p,Denver Nuggets,92,Atlanta Hawks,97,Box Score,,16921,
110,"Sat, Mar 15, 2014",7:30p,Indiana Pacers,112,Detroit Pistons,104,Box Score,OT,17440,
111,"Sat, Mar 15, 2014",7:30p,Memphis Grizzlies,103,Philadelphia 76ers,77,Box Score,,15164,
112,"Sat, Mar 15, 2014",8:00p,Sacramento Kings,87,Chicago Bulls,94,Box Score,,22012,
113,"Sun, Mar 16, 2014",1:00p,Charlotte Bobcats,101,Milwaukee Bucks,92,Box Score,,14536,
114,"Sun, Mar 16, 2014",1:00p,Phoenix Suns,121,Toronto Raptors,113,Box Score,,18717,
115,"Sun, Mar 16, 2014",3:30p,Houston Rockets,104,Miami Heat,113,Box Score,,19666,
116,"Sun, Mar 16, 2014",6:00p,Boston Celtics,120,New Orleans Pelicans,121,Box Score,OT,17050,
117,"Sun, Mar 16, 2014",7:00p,Sacramento Kings,102,Minnesota Timberwolves,104,Box Score,,13171,
118,"Sun, Mar 16, 2014",7:00p,Dallas Mavericks,109,Oklahoma City Thunder,86,Box Score,,18203,
119,"Sun, Mar 16, 2014",7:00p,Utah Jazz,104,San Antonio Spurs,122,Box Score,,18242,
120,"Sun, Mar 16, 2014",9:00p,Golden State Warriors,113,Portland Trail Blazers,112,Box Score,,20063,
121,"Sun, Mar 16, 2014",9:30p,Cleveland Cavaliers,80,Los Angeles Clippers,102,Box Score,,19274,
122,"Mon, Mar 17, 2014",7:00p,Atlanta Hawks,97,Charlotte Bobcats,83,Box Score,,14419,
123,"Mon, Mar 17, 2014",7:00p,Philadelphia 76ers,90,Indiana Pacers,99,Box Score,,18165,
124,"Mon, Mar 17, 2014",7:30p,Phoenix Suns,95,Brooklyn Nets,108,Box Score,,17401,
125,"Mon, Mar 17, 2014",8:00p,Oklahoma City Thunder,97,Chicago Bulls,85,Box Score,,22261,
126,"Mon, Mar 17, 2014",8:00p,Utah Jazz,86,Houston Rockets,124,Box Score,,18156,
127,"Mon, Mar 17, 2014",8:30p,Boston Celtics,89,Dallas Mavericks,94,Box Score,,20132,
128,"Mon, Mar 17, 2014",10:30p,Los Angeles Clippers,100,Denver Nuggets,110,Box Score,,16553,
129,"Tue, Mar 18, 2014",7:00p,Miami Heat,100,Cleveland Cavaliers,96,Box Score,,20562,
130,"Tue, Mar 18, 2014",7:30p,Toronto Raptors,113,Atlanta Hawks,118,Box Score,OT,11759,
131,"Tue, Mar 18, 2014",10:00p,Milwaukee Bucks,115,Portland Trail Blazers,120,Box Score,OT,19572,
132,"Tue, Mar 18, 2014",10:00p,Washington Wizards,111,Sacramento Kings,117,Box Score,OT,16084,
133,"Tue, Mar 18, 2014",10:30p,Orlando Magic,89,Golden State Warriors,103,Box Score,,19596,
134,"Wed, Mar 19, 2014",7:00p,Chicago Bulls,102,Philadelphia 76ers,94,Box Score,,13222,
135,"Wed, Mar 19, 2014",7:30p,Miami Heat,96,Boston Celtics,101,Box Score,,18624,
136,"Wed, Mar 19, 2014",7:30p,Charlotte Bobcats,99,Brooklyn Nets,104,Box Score,,17222,
137,"Wed, Mar 19, 2014",8:00p,Utah Jazz,86,Memphis Grizzlies,96,Box Score,,17011,
138,"Wed, Mar 19, 2014",8:00p,Toronto Raptors,107,New Orleans Pelicans,100,Box Score,,15282,
139,"Wed, Mar 19, 2014",8:00p,Indiana Pacers,86,New York Knicks,92,Box Score,,19812,
140,"Wed, Mar 19, 2014",8:30p,Minnesota Timberwolves,123,Dallas Mavericks,122,Box Score,OT,20100,
141,"Wed, Mar 19, 2014",9:00p,Detroit Pistons,109,Denver Nuggets,118,Box Score,,16671,
142,"Wed, Mar 19, 2014",10:00p,Orlando Magic,93,Phoenix Suns,109,Box Score,,17508,
143,"Wed, Mar 19, 2014",10:30p,San Antonio Spurs,125,Los Angeles Lakers,109,Box Score,,18997,
144,"Thu, Mar 20, 2014",7:00p,Oklahoma City Thunder,102,Cleveland Cavaliers,95,Box Score,,18246,
145,"Thu, Mar 20, 2014",8:00p,Minnesota Timberwolves,106,Houston Rockets,129,Box Score,,18315,
146,"Thu, Mar 20, 2014",10:00p,Washington Wizards,103,Portland Trail Blazers,116,Box Score,,19571,
147,"Thu, Mar 20, 2014",10:30p,Milwaukee Bucks,110,Golden State Warriors,115,Box Score,,19596,
148,"Fri, Mar 21, 2014",7:00p,Chicago Bulls,79,Indiana Pacers,91,Box Score,,18165,
149,"Fri, Mar 21, 2014",7:00p,New York Knicks,93,Philadelphia 76ers,92,Box Score,,12745,
150,"Fri, Mar 21, 2014",7:00p,Oklahoma City Thunder,119,Toronto Raptors,118,Box Score,2OT,19800,
151,"Fri, Mar 21, 2014",7:30p,New Orleans Pelicans,111,Atlanta Hawks,105,Box Score,,15476,
152,"Fri, Mar 21, 2014",7:30p,Boston Celtics,98,Brooklyn Nets,114,Box Score,,17732,
153,"Fri, Mar 21, 2014",7:30p,Memphis Grizzlies,86,Miami Heat,91,Box Score,,20007,
154,"Fri, Mar 21, 2014",8:30p,Denver Nuggets,106,Dallas Mavericks,122,Box Score,,20188,
155,"Fri, Mar 21, 2014",10:00p,Detroit Pistons,92,Phoenix Suns,98,Box Score,,18422,
156,"Fri, Mar 21, 2014",10:00p,San Antonio Spurs,99,Sacramento Kings,79,Box Score,,17317,
157,"Fri, Mar 21, 2014",10:30p,Washington Wizards,117,Los Angeles Lakers,107,Box Score,,18112,
158,"Sat, Mar 22, 2014",7:00p,Portland Trail Blazers,94,Charlotte Bobcats,124,Box Score,,18706,
159,"Sat, Mar 22, 2014",7:30p,Houston Rockets,118,Cleveland Cavaliers,111,Box Score,,19058,
160,"Sat, Mar 22, 2014",8:00p,Philadelphia 76ers,81,Chicago Bulls,91,Box Score,,21799,
161,"Sat, Mar 22, 2014",8:00p,Indiana Pacers,71,Memphis Grizzlies,82,Box Score,,18119,
162,"Sat, Mar 22, 2014",8:00p,Miami Heat,95,New Orleans Pelicans,105,Box Score,,18185,
163,"Sat, Mar 22, 2014",9:00p,Orlando Magic,88,Utah Jazz,89,Box Score,,19228,
