,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Sat, Feb 1, 2014",7:00p,Brooklyn Nets,96,Indiana Pacers,97,Box Score,,18165,
1,"Sat, Feb 1, 2014",7:00p,Oklahoma City Thunder,81,Washington Wizards,96,Box Score,,20356,
2,"Sat, Feb 1, 2014",7:30p,Minnesota Timberwolves,113,Atlanta Hawks,120,Box Score,,13018,
3,"Sat, Feb 1, 2014",7:30p,Philadelphia 76ers,96,Detroit Pistons,113,Box Score,,16649,
4,"Sat, Feb 1, 2014",8:00p,Cleveland Cavaliers,92,Houston Rockets,106,Box Score,,18309,
5,"Sat, Feb 1, 2014",8:00p,Milwaukee Bucks,90,Memphis Grizzlies,99,Box Score,,17017,
6,"Sat, Feb 1, 2014",8:00p,Chicago Bulls,79,New Orleans Pelicans,88,Box Score,,17799,
7,"Sat, Feb 1, 2014",8:30p,Miami Heat,106,New York Knicks,91,Box Score,,19812,
8,"Sat, Feb 1, 2014",8:30p,Sacramento Kings,93,San Antonio Spurs,95,Box Score,,18581,
9,"Sat, Feb 1, 2014",9:00p,Charlotte Bobcats,95,Phoenix Suns,105,Box Score,,16248,
10,"Sat, Feb 1, 2014",10:00p,Toronto Raptors,103,Portland Trail Blazers,106,Box Score,,19996,
11,"Sat, Feb 1, 2014",10:30p,Utah Jazz,87,Los Angeles Clippers,102,Box Score,,19060,
12,"Sun, Feb 2, 2014",1:00p,Orlando Magic,89,Boston Celtics,96,Box Score,,18624,
13,"Mon, Feb 3, 2014",7:00p,Orlando Magic,79,Indiana Pacers,98,Box Score,,16266,
14,"Mon, Feb 3, 2014",7:00p,Portland Trail Blazers,90,Washington Wizards,100,Box Score,,13259,
15,"Mon, Feb 3, 2014",7:30p,Philadelphia 76ers,102,Brooklyn Nets,108,Box Score,,16727,
16,"Mon, Feb 3, 2014",7:30p,Detroit Pistons,96,Miami Heat,102,Box Score,,19802,
17,"Mon, Feb 3, 2014",8:00p,New York Knicks,98,Milwaukee Bucks,101,Box Score,,11147,
