,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Wed, Feb 1, 2017",7:00p,Minnesota Timberwolves,97,Cleveland Cavaliers,125,Box Score,,20562,
1,"Wed, Feb 1, 2017",7:00p,Indiana Pacers,98,Orlando Magic,88,Box Score,,16662,
2,"Wed, Feb 1, 2017",7:30p,Toronto Raptors,104,Boston Celtics,109,Box Score,,18624,
3,"Wed, Feb 1, 2017",7:30p,New York Knicks,95,Brooklyn Nets,90,Box Score,,17732,
4,"Wed, Feb 1, 2017",7:30p,New Orleans Pelicans,98,Detroit Pistons,118,Box Score,,14262,
5,"Wed, Feb 1, 2017",7:30p,Atlanta Hawks,93,Miami Heat,116,Box Score,,19600,
6,"Wed, Feb 1, 2017",8:30p,Philadelphia 76ers,95,Dallas Mavericks,113,Box Score,,19263,
7,"Wed, Feb 1, 2017",9:00p,Memphis Grizzlies,119,Denver Nuggets,99,Box Score,,12020,
8,"Wed, Feb 1, 2017",9:00p,Los Angeles Clippers,124,Phoenix Suns,114,Box Score,,16191,
9,"Wed, Feb 1, 2017",9:00p,Milwaukee Bucks,88,Utah Jazz,104,Box Score,,19694,
10,"Wed, Feb 1, 2017",9:30p,Chicago Bulls,128,Oklahoma City Thunder,100,Box Score,,18203,
11,"Wed, Feb 1, 2017",10:30p,Charlotte Hornets,111,Golden State Warriors,126,Box Score,,19596,
12,"Thu, Feb 2, 2017",7:00p,Los Angeles Lakers,108,Washington Wizards,116,Box Score,,16473,
13,"Thu, Feb 2, 2017",8:00p,Atlanta Hawks,113,Houston Rockets,108,Box Score,,15602,
14,"Thu, Feb 2, 2017",8:30p,Philadelphia 76ers,86,San Antonio Spurs,102,Box Score,,18418,
15,"Thu, Feb 2, 2017",10:30p,Golden State Warriors,133,Los Angeles Clippers,120,Box Score,,19385,
16,"Fri, Feb 3, 2017",7:00p,Toronto Raptors,94,Orlando Magic,102,Box Score,,17141,
17,"Fri, Feb 3, 2017",7:30p,Indiana Pacers,106,Brooklyn Nets,97,Box Score,,14557,
18,"Fri, Feb 3, 2017",7:30p,Minnesota Timberwolves,108,Detroit Pistons,116,Box Score,,16934,
19,"Fri, Feb 3, 2017",8:00p,Los Angeles Lakers,107,Boston Celtics,113,Box Score,,18624,
20,"Fri, Feb 3, 2017",8:00p,Chicago Bulls,117,Houston Rockets,121,Box Score,OT,18055,
