,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Wed, Dec 1, 2021",7:00p,Atlanta Hawks,114,Indiana Pacers,111,Box Score,,12656,
1,"Wed, Dec 1, 2021",7:00p,Denver Nuggets,103,Orlando Magic,108,Box Score,,14191,
2,"Wed, Dec 1, 2021",7:00p,Minnesota Timberwolves,107,Washington Wizards,115,Box Score,,15318,
3,"Wed, Dec 1, 2021",7:30p,Philadelphia 76ers,87,Boston Celtics,88,Box Score,,19156,
4,"Wed, Dec 1, 2021",7:30p,Cleveland Cavaliers,111,Miami Heat,85,Box Score,,19600,
5,"Wed, Dec 1, 2021",8:00p,Charlotte Hornets,125,Milwaukee Bucks,127,Box Score,,17341,
6,"Wed, Dec 1, 2021",8:00p,Dallas Mavericks,139,New Orleans Pelicans,107,Box Score,,15558,
7,"Wed, Dec 1, 2021",8:00p,Houston Rockets,114,Oklahoma City Thunder,110,Box Score,,13222,
8,"Wed, Dec 1, 2021",10:30p,Sacramento Kings,124,Los Angeles Clippers,115,Box Score,,17217,
9,"Thu, Dec 2, 2021",7:30p,Chicago Bulls,119,New York Knicks,115,Box Score,,19812,
10,"Thu, Dec 2, 2021",7:30p,Milwaukee Bucks,93,Toronto Raptors,97,Box Score,,19800,
11,"Thu, Dec 2, 2021",8:00p,Oklahoma City Thunder,79,Memphis Grizzlies,152,Box Score,,13103,
12,"Thu, Dec 2, 2021",9:00p,Detroit Pistons,103,Phoenix Suns,114,Box Score,,0,
13,"Thu, Dec 2, 2021",10:00p,San Antonio Spurs,114,Portland Trail Blazers,83,Box Score,,16143,
14,"Fri, Dec 3, 2021",7:00p,Miami Heat,113,Indiana Pacers,104,Box Score,,13854,
15,"Fri, Dec 3, 2021",7:00p,Cleveland Cavaliers,116,Washington Wizards,101,Box Score,,17227,
16,"Fri, Dec 3, 2021",7:30p,Philadelphia 76ers,98,Atlanta Hawks,96,Box Score,,17092,
17,"Fri, Dec 3, 2021",7:30p,Minnesota Timberwolves,105,Brooklyn Nets,110,Box Score,,17732,
18,"Fri, Dec 3, 2021",8:00p,Orlando Magic,116,Houston Rockets,118,Box Score,,13697,
19,"Fri, Dec 3, 2021",8:30p,New Orleans Pelicans,107,Dallas Mavericks,91,Box Score,,19218,
20,"Fri, Dec 3, 2021",9:00p,Boston Celtics,130,Utah Jazz,137,Box Score,,18306,
21,"Fri, Dec 3, 2021",10:00p,Phoenix Suns,96,Golden State Warriors,118,Box Score,,18064,
22,"Fri, Dec 3, 2021",10:00p,Los Angeles Clippers,119,Los Angeles Lakers,115,Box Score,,18997,
