,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Thu, Feb 1, 2018",7:00p,Memphis Grizzlies,102,Detroit Pistons,104,Box Score,,17481,
1,"Thu, Feb 1, 2018",7:00p,Toronto Raptors,119,Washington Wizards,122,Box Score,,15599,
2,"Thu, Feb 1, 2018",8:00p,Milwaukee Bucks,89,Minnesota Timberwolves,108,Box Score,,17199,
3,"Thu, Feb 1, 2018",8:00p,Houston Rockets,102,San Antonio Spurs,91,Box Score,,18418,
4,"Thu, Feb 1, 2018",10:30p,Oklahoma City Thunder,124,Denver Nuggets,127,Box Score,,18407,
5,"Fri, Feb 2, 2018",7:00p,Indiana Pacers,126,Charlotte Hornets,133,Box Score,,17135,
6,"Fri, Feb 2, 2018",7:30p,Atlanta Hawks,110,Boston Celtics,119,Box Score,,18624,
7,"Fri, Feb 2, 2018",7:30p,Los Angeles Lakers,102,Brooklyn Nets,99,Box Score,,17732,
8,"Fri, Feb 2, 2018",7:30p,Portland Trail Blazers,105,Toronto Raptors,130,Box Score,,19800,
9,"Fri, Feb 2, 2018",8:00p,New York Knicks,90,Milwaukee Bucks,92,Box Score,,18717,
10,"Fri, Feb 2, 2018",8:00p,Miami Heat,97,Philadelphia 76ers,103,Box Score,,20636,
11,"Fri, Feb 2, 2018",9:00p,New Orleans Pelicans,114,Oklahoma City Thunder,100,Box Score,,18203,
12,"Fri, Feb 2, 2018",9:00p,Utah Jazz,129,Phoenix Suns,97,Box Score,,16560,
13,"Fri, Feb 2, 2018",10:30p,Golden State Warriors,119,Sacramento Kings,104,Box Score,,17583,
14,"Sat, Feb 3, 2018",3:30p,Chicago Bulls,103,Los Angeles Clippers,113,Box Score,,19068,
15,"Sat, Feb 3, 2018",7:00p,Miami Heat,107,Detroit Pistons,111,Box Score,,18747,
16,"Sat, Feb 3, 2018",7:00p,Philadelphia 76ers,92,Indiana Pacers,100,Box Score,,17923,
17,"Sat, Feb 3, 2018",7:00p,Washington Wizards,115,Orlando Magic,98,Box Score,,18846,
18,"Sat, Feb 3, 2018",8:30p,Houston Rockets,120,Cleveland Cavaliers,88,Box Score,,20562,
19,"Sat, Feb 3, 2018",9:00p,Golden State Warriors,108,Denver Nuggets,115,Box Score,,20103,
20,"Sat, Feb 3, 2018",9:00p,New Orleans Pelicans,107,Minnesota Timberwolves,118,Box Score,,17954,
21,"Sat, Feb 3, 2018",9:00p,Utah Jazz,120,San Antonio Spurs,111,Box Score,,18418,
22,"Sat, Feb 3, 2018",10:00p,Dallas Mavericks,106,Sacramento Kings,99,Box Score,,17583,
23,"Sun, Feb 4, 2018",12:00p,Portland Trail Blazers,96,Boston Celtics,97,Box Score,,18624,
24,"Sun, Feb 4, 2018",12:00p,Milwaukee Bucks,109,Brooklyn Nets,94,Box Score,,14392,
25,"Sun, Feb 4, 2018",12:00p,Atlanta Hawks,99,New York Knicks,96,Box Score,,19441,
26,"Sun, Feb 4, 2018",12:00p,Memphis Grizzlies,86,Toronto Raptors,101,Box Score,,19800,
27,"Sun, Feb 4, 2018",2:00p,Los Angeles Lakers,108,Oklahoma City Thunder,104,Box Score,,18203,
28,"Sun, Feb 4, 2018",3:00p,Charlotte Hornets,115,Phoenix Suns,110,Box Score,,14487,
29,"Mon, Feb 5, 2018",7:00p,Portland Trail Blazers,91,Detroit Pistons,111,Box Score,,13810,
30,"Mon, Feb 5, 2018",7:00p,Washington Wizards,111,Indiana Pacers,102,Box Score,,13169,
31,"Mon, Feb 5, 2018",7:30p,Orlando Magic,111,Miami Heat,109,Box Score,,19600,
32,"Mon, Feb 5, 2018",8:00p,Utah Jazz,133,New Orleans Pelicans,109,Box Score,,14293,
33,"Mon, Feb 5, 2018",9:00p,Charlotte Hornets,104,Denver Nuggets,121,Box Score,,14410,
34,"Mon, Feb 5, 2018",10:00p,Chicago Bulls,98,Sacramento Kings,104,Box Score,,17583,
35,"Mon, Feb 5, 2018",10:30p,Dallas Mavericks,101,Los Angeles Clippers,104,Box Score,,15127,
36,"Tue, Feb 6, 2018",7:00p,Cleveland Cavaliers,98,Orlando Magic,116,Box Score,,18846,
37,"Tue, Feb 6, 2018",7:30p,Memphis Grizzlies,82,Atlanta Hawks,108,Box Score,,11866,
38,"Tue, Feb 6, 2018",7:30p,Houston Rockets,123,Brooklyn Nets,113,Box Score,,15064,
39,"Tue, Feb 6, 2018",7:30p,Milwaukee Bucks,103,New York Knicks,89,Box Score,,19812,
40,"Tue, Feb 6, 2018",7:30p,Boston Celtics,91,Toronto Raptors,111,Box Score,,20017,
41,"Tue, Feb 6, 2018",8:00p,Washington Wizards,102,Philadelphia 76ers,115,Box Score,,20530,
42,"Tue, Feb 6, 2018",10:30p,Oklahoma City Thunder,125,Golden State Warriors,105,Box Score,,19596,
43,"Tue, Feb 6, 2018",10:30p,Phoenix Suns,93,Los Angeles Lakers,112,Box Score,,18997,
44,"Wed, Feb 7, 2018",7:00p,Brooklyn Nets,106,Detroit Pistons,115,Box Score,,15114,
45,"Wed, Feb 7, 2018",7:30p,Houston Rockets,109,Miami Heat,101,Box Score,,19600,
46,"Wed, Feb 7, 2018",8:00p,Minnesota Timberwolves,138,Cleveland Cavaliers,140,Box Score,OT,20562,
47,"Wed, Feb 7, 2018",8:00p,Utah Jazz,92,Memphis Grizzlies,88,Box Score,,13187,
48,"Wed, Feb 7, 2018",10:30p,San Antonio Spurs,129,Phoenix Suns,81,Box Score,,15993,
49,"Thu, Feb 8, 2018",7:00p,Atlanta Hawks,98,Orlando Magic,100,Box Score,,16215,
50,"Thu, Feb 8, 2018",7:30p,New York Knicks,88,Toronto Raptors,113,Box Score,,19800,
51,"Thu, Feb 8, 2018",8:00p,Boston Celtics,110,Washington Wizards,104,Box Score,OT,20356,
52,"Thu, Feb 8, 2018",10:00p,Charlotte Hornets,103,Portland Trail Blazers,109,Box Score,OT,19178,
53,"Thu, Feb 8, 2018",10:30p,Dallas Mavericks,103,Golden State Warriors,121,Box Score,,19596,
54,"Thu, Feb 8, 2018",10:30p,Oklahoma City Thunder,81,Los Angeles Lakers,106,Box Score,,18997,
55,"Fri, Feb 9, 2018",7:00p,Los Angeles Clippers,108,Detroit Pistons,95,Box Score,,16697,
56,"Fri, Feb 9, 2018",7:00p,New Orleans Pelicans,82,Philadelphia 76ers,100,Box Score,,20489,
57,"Fri, Feb 9, 2018",7:30p,Cleveland Cavaliers,123,Atlanta Hawks,107,Box Score,,16438,
58,"Fri, Feb 9, 2018",7:30p,Indiana Pacers,97,Boston Celtics,91,Box Score,,18624,
59,"Fri, Feb 9, 2018",8:00p,Denver Nuggets,104,Houston Rockets,130,Box Score,,18055,
60,"Fri, Feb 9, 2018",8:00p,Milwaukee Bucks,85,Miami Heat,91,Box Score,,20018,
61,"Fri, Feb 9, 2018",9:00p,Charlotte Hornets,94,Utah Jazz,106,Box Score,,18306,
62,"Fri, Feb 9, 2018",9:30p,Minnesota Timberwolves,113,Chicago Bulls,114,Box Score,,21558,
63,"Fri, Feb 9, 2018",10:30p,Portland Trail Blazers,118,Sacramento Kings,100,Box Score,,17583,
64,"Sat, Feb 10, 2018",6:00p,New Orleans Pelicans,138,Brooklyn Nets,128,Box Score,2OT,16572,
65,"Sat, Feb 10, 2018",7:00p,Milwaukee Bucks,111,Orlando Magic,104,Box Score,,18347,
66,"Sat, Feb 10, 2018",7:00p,Los Angeles Clippers,98,Philadelphia 76ers,112,Box Score,,20504,
67,"Sat, Feb 10, 2018",8:00p,Washington Wizards,101,Chicago Bulls,90,Box Score,,21112,
68,"Sat, Feb 10, 2018",8:30p,Los Angeles Lakers,123,Dallas Mavericks,130,Box Score,,20162,
69,"Sat, Feb 10, 2018",8:30p,San Antonio Spurs,105,Golden State Warriors,122,Box Score,,19596,
70,"Sat, Feb 10, 2018",9:00p,Denver Nuggets,123,Phoenix Suns,113,Box Score,,16325,
71,"Sun, Feb 11, 2018",1:00p,Toronto Raptors,123,Charlotte Hornets,103,Box Score,,18320,
