,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Sat, Jan 1, 2022",6:30p,New Orleans Pelicans,113,Milwaukee Bucks,136,Box Score,,17341.0,
1,"Sat, Jan 1, 2022",7:00p,San Antonio Spurs,116,Detroit Pistons,117,Box Score,OT,18911.0,
2,"Sat, Jan 1, 2022",7:00p,Chicago Bulls,120,Washington Wizards,119,Box Score,,19043.0,
3,"Sat, Jan 1, 2022",7:30p,Los Angeles Clippers,120,Brooklyn Nets,116,Box Score,,17732.0,
4,"Sat, Jan 1, 2022",8:00p,Denver Nuggets,124,Houston Rockets,111,Box Score,,18055.0,
5,"Sat, Jan 1, 2022",9:00p,Golden State Warriors,123,Utah Jazz,116,Box Score,,18306.0,
6,"Sun, Jan 2, 2022",3:30p,New York Knicks,105,Toronto Raptors,120,Box Score,,0.0,
7,"Sun, Jan 2, 2022",6:00p,Orlando Magic,111,Boston Celtics,116,Box Score,OT,19156.0,
8,"Sun, Jan 2, 2022",6:00p,Indiana Pacers,104,Cleveland Cavaliers,108,Box Score,,17808.0,
9,"Sun, Jan 2, 2022",6:00p,Miami Heat,113,Sacramento Kings,115,Box Score,,13699.0,
10,"Sun, Jan 2, 2022",7:00p,Phoenix Suns,133,Charlotte Hornets,99,Box Score,,19088.0,
11,"Sun, Jan 2, 2022",7:00p,Dallas Mavericks,95,Oklahoma City Thunder,86,Box Score,,14751.0,
12,"Sun, Jan 2, 2022",9:30p,Minnesota Timberwolves,103,Los Angeles Lakers,108,Box Score,,18343.0,
13,"Mon, Jan 3, 2022",7:00p,Houston Rockets,113,Philadelphia 76ers,133,Box Score,,20026.0,
14,"Mon, Jan 3, 2022",7:00p,Charlotte Hornets,121,Washington Wizards,124,Box Score,,8902.0,
15,"Mon, Jan 3, 2022",7:30p,Memphis Grizzlies,118,Brooklyn Nets,104,Box Score,,17089.0,
16,"Mon, Jan 3, 2022",8:00p,Orlando Magic,98,Chicago Bulls,102,Box Score,,20502.0,
17,"Mon, Jan 3, 2022",8:00p,Detroit Pistons,115,Milwaukee Bucks,106,Box Score,,17341.0,
18,"Mon, Jan 3, 2022",8:00p,Utah Jazz,115,New Orleans Pelicans,104,Box Score,,15057.0,
19,"Mon, Jan 3, 2022",8:30p,Denver Nuggets,89,Dallas Mavericks,103,Box Score,,19767.0,
20,"Mon, Jan 3, 2022",10:00p,Miami Heat,108,Golden State Warriors,115,Box Score,,18064.0,
21,"Mon, Jan 3, 2022",10:00p,Atlanta Hawks,131,Portland Trail Blazers,136,Box Score,,15091.0,
22,"Mon, Jan 3, 2022",10:30p,Minnesota Timberwolves,122,Los Angeles Clippers,104,Box Score,,15959.0,
23,"Tue, Jan 4, 2022",7:00p,Memphis Grizzlies,110,Cleveland Cavaliers,106,Box Score,,18178.0,
24,"Tue, Jan 4, 2022",7:00p,San Antonio Spurs,104,Toronto Raptors,129,Box Score,,0.0,
25,"Tue, Jan 4, 2022",7:30p,Indiana Pacers,94,New York Knicks,104,Box Score,,18449.0,
26,"Tue, Jan 4, 2022",8:00p,Phoenix Suns,123,New Orleans Pelicans,110,Box Score,,15158.0,
27,"Tue, Jan 4, 2022",10:30p,Sacramento Kings,114,Los Angeles Lakers,122,Box Score,,17919.0,
28,"Wed, Jan 5, 2022",7:00p,Detroit Pistons,111,Charlotte Hornets,140,Box Score,,14427.0,
29,"Wed, Jan 5, 2022",7:00p,Philadelphia 76ers,116,Orlando Magic,106,Box Score,,13116.0,
30,"Wed, Jan 5, 2022",7:00p,Houston Rockets,114,Washington Wizards,111,Box Score,,13014.0,
31,"Wed, Jan 5, 2022",7:30p,San Antonio Spurs,99,Boston Celtics,97,Box Score,,19156.0,
32,"Wed, Jan 5, 2022",7:30p,Golden State Warriors,82,Dallas Mavericks,99,Box Score,,20441.0,
33,"Wed, Jan 5, 2022",7:30p,Brooklyn Nets,129,Indiana Pacers,121,Box Score,,14176.0,
34,"Wed, Jan 5, 2022",8:00p,Toronto Raptors,117,Milwaukee Bucks,111,Box Score,,17341.0,
35,"Wed, Jan 5, 2022",8:00p,Oklahoma City Thunder,90,Minnesota Timberwolves,98,Box Score,,14375.0,
36,"Wed, Jan 5, 2022",10:00p,Utah Jazz,115,Denver Nuggets,109,Box Score,,14056.0,
37,"Wed, Jan 5, 2022",10:00p,Miami Heat,115,Portland Trail Blazers,109,Box Score,,15773.0,
38,"Wed, Jan 5, 2022",10:00p,Atlanta Hawks,108,Sacramento Kings,102,Box Score,,13104.0,
39,"Thu, Jan 6, 2022",7:30p,Boston Celtics,105,New York Knicks,108,Box Score,,17529.0,
40,"Thu, Jan 6, 2022",8:00p,Detroit Pistons,88,Memphis Grizzlies,118,Box Score,,12983.0,
41,"Thu, Jan 6, 2022",8:00p,Golden State Warriors,96,New Orleans Pelicans,101,Box Score,,15986.0,
42,"Thu, Jan 6, 2022",10:00p,Los Angeles Clippers,89,Phoenix Suns,106,Box Score,,17071.0,
43,"Fri, Jan 7, 2022",7:00p,San Antonio Spurs,100,Philadelphia 76ers,119,Box Score,,20265.0,
