,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Sun, Jan 1, 2017",6:00p,San Antonio Spurs,112,Atlanta Hawks,114,Box Score,OT,18088,
1,"Sun, Jan 1, 2017",6:00p,Orlando Magic,104,Indiana Pacers,117,Box Score,,17530,
2,"Sun, Jan 1, 2017",6:00p,Detroit Pistons,107,Miami Heat,98,Box Score,,19844,
3,"Sun, Jan 1, 2017",7:00p,Portland Trail Blazers,95,Minnesota Timberwolves,89,Box Score,,15804,
4,"Sun, Jan 1, 2017",9:30p,Toronto Raptors,123,Los Angeles Lakers,114,Box Score,,18997,
5,"Mon, Jan 2, 2017",7:00p,New Orleans Pelicans,82,Cleveland Cavaliers,90,Box Score,,20562,
6,"Mon, Jan 2, 2017",7:00p,Oklahoma City Thunder,94,Milwaukee Bucks,98,Box Score,,17423,
7,"Mon, Jan 2, 2017",7:30p,Utah Jazz,101,Brooklyn Nets,89,Box Score,,15634,
8,"Mon, Jan 2, 2017",7:30p,Orlando Magic,115,New York Knicks,103,Box Score,,19812,
9,"Mon, Jan 2, 2017",8:00p,Charlotte Hornets,111,Chicago Bulls,118,Box Score,,21612,
10,"Mon, Jan 2, 2017",8:00p,Washington Wizards,91,Houston Rockets,101,Box Score,,16569,
11,"Mon, Jan 2, 2017",10:30p,Denver Nuggets,119,Golden State Warriors,127,Box Score,,19596,
12,"Mon, Jan 2, 2017",10:30p,Phoenix Suns,98,Los Angeles Clippers,109,Box Score,,19060,
13,"Tue, Jan 3, 2017",7:00p,Minnesota Timberwolves,91,Philadelphia 76ers,93,Box Score,,17124,
14,"Tue, Jan 3, 2017",7:30p,Utah Jazz,104,Boston Celtics,115,Box Score,,18624,
15,"Tue, Jan 3, 2017",7:30p,Indiana Pacers,121,Detroit Pistons,116,Box Score,,13435,
16,"Tue, Jan 3, 2017",8:30p,Washington Wizards,105,Dallas Mavericks,113,Box Score,,19318,
17,"Tue, Jan 3, 2017",8:30p,Toronto Raptors,82,San Antonio Spurs,110,Box Score,,18418,
18,"Tue, Jan 3, 2017",9:00p,Sacramento Kings,120,Denver Nuggets,113,Box Score,,11018,
19,"Tue, Jan 3, 2017",9:00p,Miami Heat,90,Phoenix Suns,99,Box Score,,16772,
20,"Tue, Jan 3, 2017",10:30p,Memphis Grizzlies,102,Los Angeles Lakers,116,Box Score,,18997,
