,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Sun, Jan 1, 2012",6:00p,New Jersey Nets,82,Cleveland Cavaliers,98,Box Score,,15084,
1,"Sun, Jan 1, 2012",6:00p,Charlotte Bobcats,90,Miami Heat,129,Box Score,,20016,
2,"Sun, Jan 1, 2012",6:00p,Toronto Raptors,96,Orlando Magic,102,Box Score,,18846,
3,"Sun, Jan 1, 2012",6:00p,Boston Celtics,94,Washington Wizards,86,Box Score,,17458,
4,"Sun, Jan 1, 2012",7:00p,Dallas Mavericks,82,Minnesota Timberwolves,99,Box Score,,15115,
5,"Sun, Jan 1, 2012",8:00p,Memphis Grizzlies,64,Chicago Bulls,104,Box Score,,22763,
6,"Sun, Jan 1, 2012",8:00p,Los Angeles Lakers,90,Denver Nuggets,99,Box Score,,19155,
7,"Sun, Jan 1, 2012",9:00p,New Orleans Hornets,80,Sacramento Kings,96,Box Score,,13628,
8,"Sun, Jan 1, 2012",9:30p,Portland Trail Blazers,88,Los Angeles Clippers,93,Box Score,,19060,
9,"Mon, Jan 2, 2012",3:30p,Golden State Warriors,91,Phoenix Suns,102,Box Score,,14793,
10,"Mon, Jan 2, 2012",7:30p,Washington Wizards,92,Boston Celtics,100,Box Score,,18624,
11,"Mon, Jan 2, 2012",7:30p,Orlando Magic,78,Detroit Pistons,89,Box Score,,8120,
12,"Mon, Jan 2, 2012",7:30p,Atlanta Hawks,100,Miami Heat,92,Box Score,,20078,
13,"Mon, Jan 2, 2012",7:30p,Indiana Pacers,108,New Jersey Nets,94,Box Score,,12519,
14,"Mon, Jan 2, 2012",7:30p,Toronto Raptors,90,New York Knicks,85,Box Score,,19763,
15,"Mon, Jan 2, 2012",8:00p,San Antonio Spurs,96,Minnesota Timberwolves,106,Box Score,,14514,
16,"Mon, Jan 2, 2012",8:30p,Oklahoma City Thunder,87,Dallas Mavericks,100,Box Score,,20108,
17,"Mon, Jan 2, 2012",9:00p,Milwaukee Bucks,86,Denver Nuggets,91,Box Score,,14142,
18,"Mon, Jan 2, 2012",9:00p,New Orleans Hornets,90,Utah Jazz,94,Box Score,,19159,
19,"Tue, Jan 3, 2012",7:00p,Charlotte Bobcats,101,Cleveland Cavaliers,115,Box Score,,14173,
20,"Tue, Jan 3, 2012",8:00p,Atlanta Hawks,74,Chicago Bulls,76,Box Score,,22166,
21,"Tue, Jan 3, 2012",8:00p,Sacramento Kings,96,Memphis Grizzlies,113,Box Score,,12391,
22,"Tue, Jan 3, 2012",8:00p,Portland Trail Blazers,103,Oklahoma City Thunder,93,Box Score,,18203,
23,"Tue, Jan 3, 2012",9:00p,Milwaukee Bucks,73,Utah Jazz,85,Box Score,,17756,
24,"Tue, Jan 3, 2012",10:30p,Houston Rockets,99,Los Angeles Lakers,108,Box Score,,18997,
25,"Wed, Jan 4, 2012",7:00p,Washington Wizards,85,Orlando Magic,103,Box Score,,18846,
26,"Wed, Jan 4, 2012",7:00p,Cleveland Cavaliers,77,Toronto Raptors,92,Box Score,,14468,
27,"Wed, Jan 4, 2012",7:30p,New Jersey Nets,70,Boston Celtics,89,Box Score,,18624,
28,"Wed, Jan 4, 2012",7:30p,Chicago Bulls,99,Detroit Pistons,83,Box Score,,9125,
29,"Wed, Jan 4, 2012",7:30p,Indiana Pacers,83,Miami Heat,118,Box Score,,20201,
30,"Wed, Jan 4, 2012",7:30p,Charlotte Bobcats,118,New York Knicks,110,Box Score,,19763,
